OBJECTID,tag,status,cbu,owner,metered,fire_line,diameter,material,polywrap,yr_inst,length,yr_abandon,yr_removed,yr_replace,comments,NumberOfMa,Shape_Leng,Score,Soil_Comp,Soil_Comp_Full,Soil_Hydro_Group,Shape_Length,ElevChange,NumberofSLs
1,m411,i,y,CBU,n,n,6,CI,n,1961,425,0, , , ,3,425.2469398,2,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,425.2469398,1.648986816,9
2,m4117,i,y,CBU,n,n,2,C,n,1983,58,0, , , ,0,57.60063311,0,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,57.60063311,0.349121094,0
3,m4130,i,y,CBU,n,n,12,DI,n,1987,28,0, , , ,0,28.43157291,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,28.43157291,0.013092041,0
4,m4032,i,y,CBU,n,n,6,CI,n,1965,18,0, , , ,0,18.12631008,3,Ua,"Udorthents, loamy",,18.12631008,0.582748413,1
5,m4046,i,y,CBU,n,n,6,CI,n,1969,91,0, , , ,0,90.66497207,3,Ua,"Udorthents, loamy",,90.66497207,1.354766846,1
6,m3938,i,y,CBU,n,n,6,DI,n,1976,124,0, , , ,0,123.6895838,4,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,123.6895838,1.713317871,2
7,m3966,i,y,CBU,n,n,6,CI,n,1966,49,0, , , ,0,49.07882884,3,Ua,"Udorthents, loamy",,49.07882883,0.515823364,1
8,m3945,i,y,CBU,n,n,6,CI,n,1972,344,0, , , ,0,344.4388432,4,Ua,"Udorthents, loamy",,344.4388432,3.248565674,4
9,l393,i,y,CBU,n,n,6,CI,n,1968,52,0, , , ,0,52.08867061,3,Ua,"Udorthents, loamy",,52.08867061,0.299972534,0
10,l3882,i,y,CBU,n,n,6,CI,n,1961,23,0, , , ,0,22.98975682,3,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,22.98975682,0.430145264,0
11,wp1274,i,y,CBU,n,n,8,DI,n,1994,46,0, , , ,0,47.16737724,4,HaD,"Hagerstown silt loam, 12 to 20 percent slopes",Group C,47.16737725,1.040145874,1
12,wp1276,i,y,CBU,n,n,8,DI,n,1994,194,0, , , ,0,194.359602,4,Wa,"Wakeland silt loam, 0 to 2 percent slopes, frequently flooded",Group B/D,194.359602,1.21105957,0
13,wp1299,i,y,CBU,n,n,12,DI,n,1992,86,0, , , ,0,83.7481195,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group C,83.74811951,1.665893555,0
14,wp3217,i,y,CBU,n,n,8,DI,n,1995,18,0, , , ,0,18.160986,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,18.160986,0.653839111,0
15,wp4684,i,y,CBU,n,n,12,DI,n,1996,237,0, , , ,0,237.3597665,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,237.3597665,0.879699707,1
16,wp5189,i,y,CBU,n,n,12,DI,n,1996,53,0, , , ,0,53.25535724,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,53.25535724,0.592651367,0
17,wp5169,i,y,CBU,n,n,12,DI,n,1996,352,0, , , ,0,352.2563633,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,352.2563633,1.3984375,0
18,wp7479,i,y,CBU,n,n,20,DI,n,1996,54,0, , , ,0,41.37938719,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,41.37938719,0.066131592,0
19,wp8041,i,y,CBU,n,n,12,DI,n,1998,60,0, , , ,0,59.95317557,4,HoA,"Hosmer silt loam, 0 to 2 percent slopes",Group D,59.95317558,0.140304565,0
20,wp8217,i,y,CBU,n,n,8,DI,n,1998,68,0, , , ,0,62.58488543,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,62.58488543,0.56048584,0
21,wp9023,i,y,CBU,n,n,6,DI,n,1999,165,0, , , ,0,165.1864185,4,TlB,"Zanesville silt loam, 2 to 6 percent slopes",Group C/D,165.1864185,1.7081604,0
22,wp6560,i,y,CBU,n,n,12,DI,n,1997,34,0, , , ,0,34.79304997,4,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,34.79304997,0.114013672,1
23,wp9628,i,y,CBU,n,n,8,DI,n,1999,223,0, , , ,0,223.7072854,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,223.7072854,3.352554321,2
24,wp12865,i,y,CBU,n,n,6,DI,n,2001,492,0, , , ,0,493.0857306,4,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C/D,493.0857306,4.391525269,5
25,wp4663,i,y,CBU,n,n,12,DI,n,1996,40,0, , ,"Despite the difference between Length and st_length, the as-built does state the Length as 40 feet.",0,57.84437197,4,HoA,"Hosmer silt loam, 0 to 2 percent slopes",Group D,57.84437197,1.206619263,0
26,wp512,i,y,CBU,n,n,12,DI,n,1994,29,0, , , ,0,29.20839047,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,29.20839047,0.914291382,0
27,wp15129,i,y,CBU,n,n,8,DI,n,2003,473,0, , , ,0,471.3348404,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,471.3348404,3.792144775,0
28,wp15134,i,y,CBU,n,n,6,DI,n,2003,49,0, , , ,0,38.41621427,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,38.41621427,1.298400879,0
29,wp4674,i,y,CBU,n,n,6,CI,n,1973,178,0, , , ,0,178.3726986,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,178.3726986,0.65385437,0
30,wp4664,i,y,CBU,n,n,12,DI,n,1996,24,0, , ,"Despite the difference between Length and st_length, the as-built does state the Length as 24 feet.",0,18.97872372,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,18.97872372,0,0
31,wp4667,i,y,CBU,n,n,12,DI,n,1996,600,0, , , ,0,602.6012833,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,602.6012833,2.801361084,0
32,wp1249,i,y,CBU,n,n,8,DI,n,1991,68,0, , , ,0,68.12382214,4,HaD,"Hagerstown silt loam, 12 to 20 percent slopes",Group C,68.12382214,0.332717896,0
33,wp14161,i,y,CBU,n,n,12,CI,n,1969,470,0, , , ,1,470.1966418,2,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,470.1966418,0.6015625,2
34,wp19254,i,y,CBU,n,n,16,DI,n,2005,262,0, , , ,0,286.6934644,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,286.6934644,2.767059326,0
35,wp6448,i,y,CBU,n,n,12,DI,n,1996,61,0, , ,150' fire line tap to hydrant tee,0,61.37419038,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,61.37419038,0.973876953,0
36,wp5171,i,y,CBU,n,n,8,DI,n,1996,113,0, , , ,0,111.6994638,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,111.6994638,1.396362305,0
37,l4017,i,y,CBU,n,n,6,CI,n,1965,315,0, , , ,0,314.9064181,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,314.9064181,0.685516357,4
38,wp17290,i,y,CBU,n,n,12,CIL,n,1915,195,0, , , ,1,194.9235791,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,194.9235791,1.51776123,1
39,m3931,i,y,CBU,n,n,6,CI,n,1972,201,0, , , ,0,201.3249917,4,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,201.3249917,2.6590271,4
40,l3878,i,y,CBU,n,n,6,CI,n,1961,426,0, , , ,0,426.2622813,3,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,426.2622813,1.092224121,3
41,wp9625,i,y,CBU,n,n,8,DI,n,1999,144,0, , , ,0,136.3766968,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,136.3766968,1.60256958,1
42,l397,i,y,CBU,n,n,6,CI,n,1968,401,0, , , ,0,401.3628771,3,Ua,"Udorthents, loamy",,401.3628771,2.482254028,7
43,m417,i,y,CBU,n,n,6,CI,n,1961,393,0, , , ,1,392.5225028,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,392.5225028,5.970825195,4
44,m418,i,y,CBU,n,n,6,CI,n,1961,649,0, , , ,2,648.8201287,2,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,648.8201287,3.550964355,5
45,wp4352,i,y,CBU,n,n,20,DI,n,1996,130,0, , , ,0,130.2904311,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,130.2904311,0.87272644,0
46,wp22343,i,y,CBU,n,n,20,DI,n,1996,137,0, , , ,0,135.1198273,4,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,135.1198273,1.173828125,0
47,m3861,i,y,CBU,n,n,4,CI,n,1971,564,0, , , ,0,563.7518253,4,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,563.7518254,5.910568237,5
48,k457,i,y,CBU,n,n,6,CI,n,1969,287,0, , , ,0,287.3190808,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,287.3190808,0.798156738,5
49,k4447,i,y,CBU,n,n,4,CI,n,1970,88,0, , , ,0,88.0462857,3,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,88.0462857,0.500549316,2
50,k4426,i,y,CBU,n,n,6,CI,n,1967,117,0, , , ,0,116.8729447,3,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,116.8729447,0.37512207,1
51,m456,i,y,CBU,n,n,6,DI,n,1991,272,0, , , ,0,272.393156,4,HoA,"Hosmer silt loam, 0 to 2 percent slopes",Group D,272.393156,0.387023926,0
52,m4313,i,y,CBU,n,n,12,DI,n,1985,109,0, , , ,0,108.7221494,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,108.7221493,0.084594727,1
53,l4491,i,y,CBU,n,n,6,CI,n,1962,538,0, , , ,0,537.6183869,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,537.6183869,2.771850586,9
54,l428,i,y,CBU,n,n,6,CI,n,1970,25,0, , , ,0,25.10181854,3,Ba,"Bartle silt loam, 0 to 2 percent slopes",Group C/D,25.10181854,0,0
55,l4213,i,y,CBU,n,n,12,CI,n,1968,44,0, , , ,0,44.01581592,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,44.01581592,0.096130371,0
56,m4534,i,y,CBU,n,n,12,DI,n,1989,164,0, , , ,0,163.7142095,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,163.7142095,2.470947266,0
57,wp1632,i,y,CBU,n,n,6,DI,n,1981,158,0, , , ,0,158.2455185,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,158.2455185,0.202484131,2
58,l4547,i,y,CBU,n,n,12,CI,n,1962,130,0, , , ,0,129.9911154,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,129.9911154,0.53225708,1
59,l471,i,y,CBU,n,n,24,DI,n,1967,1004,0, , , ,0,1004.061924,3,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,1004.061924,7.830627441,0
60,wp1874,i,y,CBU,n,n,8,S21,n,1993,939,0, , , ,0,939.4985634,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,939.4985634,1.946655273,5
61,wp4381,i,y,CBU,n,n,20,DI,n,1996,258,0, , , ,0,257.5495501,4,St,"Stendal silt loam, 0 to 2 percent slopes, frequently flooded, brief duration",Group D,257.5495501,1.040542603,0
62,k449,i,y,CBU,n,n,10,CI,n,1968,616,0, , , ,0,615.9152767,3,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,615.9152766,0.324401855,8
63,wp3361,i,y,CBU,n,n,12,DI,n,1995,20,0, , , ,0,19.92054581,4,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,19.92054581,0,0
64,wp6848,i,y,CBU,n,n,12,DI,n,1997,82,0, , , ,0,81.50599635,4,HoA,"Hosmer silt loam, 0 to 2 percent slopes",Group D,81.50599635,0.296539307,0
65,wp6955,i,y,CBU,n,n,12,DI,n,1998,70,0, , , ,0,67.44835409,4,IvA,"Iva silt loam, 0 to 2 percent slopes",Group B/D,67.44835409,0.137145996,0
66,wp6989,i,y,CBU,n,n,12,DI,n,1998,21,0, , , ,0,18.24870362,4,HoA,"Hosmer silt loam, 0 to 2 percent slopes",Group D,18.24870362,0.27835083,0
67,wp7023,i,y,CBU,n,n,12,DI,n,1998,51,0, , , ,0,51.13834916,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,51.13834916,0.514099121,0
68,wp2595,i,y,CBU,n,n,12,DI,n,1985,1168,0, , , ,4,1167.880141,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group C,1167.880141,7.511611938,2
69,wp4367,i,y,CBU,n,n,20,DI,n,1996,81,0, , , ,0,76.30345635,4,IvA,"Iva silt loam, 0 to 2 percent slopes",Group B/D,76.30345635,0.291259766,0
70,wp7482,i,y,CBU,n,n,20,DI,n,1996,16,0, , , ,0,19.23821582,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,19.23821582,0,0
71,wp7484,i,y,CBU,n,n,20,DI,n,1996,80,0, , , ,0,80.05705666,4,St,"Stendal silt loam, 0 to 2 percent slopes, frequently flooded, brief duration",Group D,80.05705666,2.688156128,0
72,wp4527,i,y,CBU,n,n,12,DI,n,1996,52,0, , , ,0,51.62012538,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,51.62012539,0.085693359,0
73,wp7486,i,y,CBU,n,n,20,DI,n,1996,93,0, , , ,0,101.1817388,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,101.1817388,1.225234985,0
74,wp4396,i,y,CBU,n,n,20,DI,n,1996,133,0, , , ,0,133.2947106,4,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,133.2947106,1.090118408,1
75,wp7503,i,y,CBU,n,n,20,DI,n,1996,79,0, , , ,0,79.07510688,4,TlB,"Zanesville silt loam, 2 to 6 percent slopes",Group C/D,79.07510688,1.699401855,0
76,wp1611,i,y,CBU,n,n,8,DI,n,1995,70,0, , , ,0,70.25680446,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,70.25680446,0.528701782,0
77,wp1615,i,y,CBU,n,n,8,DI,n,1995,148,0, , , ,0,148.0666461,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,148.0666461,0.738861084,3
78,wp1630,i,y,CBU,n,n,12,DI,n,1989,79,0, , , ,0,78.83143448,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,78.83143448,0.102905273,0
79,wp7668,i,y,CBU,n,n,12,CI,n,1968,296,0, , , ,0,295.8122302,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,295.8122302,1.352478027,3
80,wp7669,i,y,CBU,n,n,8,DI,n,1998,193,0, , , ,0,193.3039043,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,193.3039043,3.658203125,0
81,q44207,i,y,CBU,n,n,2,U,n,1986,28,0, , , ,0,27.89003608,0,Ua,"Udorthents, loamy",,27.89003608,0.397766113,0
82,q44119,i,y,CBU,n,n,12,CI,n,1952,18,0, , , ,0,18.05379206,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,18.05379206,0.785217285,0
83,q4338,i,y,CBU,n,n,12,CI,n,1957,19,0, , , ,0,19.23192273,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,19.23192272,0.418930054,0
84,wp304,i,y,CBU,n,n,12,DI,n,1988,197,0, , , ,0,197.1179719,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,197.1179719,0.085342407,0
85,t3225,i,y,CBU,n,n,2,DI,n,1991,45,0, , , ,0,45.46929161,0,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,45.46929161,0.671539307,1
86,t3228,i,y,CBU,n,n,2,DI,n,1991,22,0, , , ,0,21.55683608,0,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,21.55683608,0.463668823,2
87,r3716,i,y,CBU,n,n,8,DI,n,1989,489,0, , , ,0,488.9939539,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,488.9939539,3.55430603,4
88,s415,i,y,CBU,n,n,6,DI,n,1977,174,0, , , ,0,174.3829253,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,174.3829253,0.795684814,2
89,s4156,i,y,CBU,n,n,6,CI,n,1971,229,0, , , ,0,229.3976206,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group D,229.3976206,5.626724243,2
90,s4164,i,y,CBU,n,n,4,CI,n,1971,336,0, , , ,2,336.4371121,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group D,336.4371121,3.233200073,6
91,s41108,i,y,CBU,n,n,6,CI,n,1965,56,0, , , ,0,55.55165838,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,55.55165838,0.10307312,0
92,s4111,i,y,CBU,n,n,6,DI,n,1977,263,0, , , ,0,263.0319039,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group D,263.0319039,0.692550659,2
93,s4116,i,y,CBU,n,n,6,DI,n,1977,24,0, , , ,0,24.20575049,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,24.2057505,0.003570557,1
94,s4044,i,y,CBU,n,n,12,CI,n,1966,397,0, , , ,0,396.9480569,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,396.9480569,3.059402466,0
95,r40151,i,y,CBU,n,n,12,DI,n,1976,28,0, , , ,0,28.19893252,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,28.19893252,0.016174316,0
96,r40160,i,y,CBU,n,n,8,DI,n,1976,48,0, , , ,0,47.86555688,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,47.86555688,0.629196167,0
97,r3978,i,y,CBU,n,n,8,CI,n,1964,300,0, , , ,0,300.2009028,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,300.2009028,2.745773315,4
98,wp7804,i,y,CBU,n,n,8,DI,n,1996,155,0, , , ,0,154.5525342,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,154.5525342,1.5652771,2
99,s43123,i,y,CBU,n,n,6,DI,n,1987,19,0, , , ,0,19.12241348,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,19.12241348,0.097351074,0
100,r39185,i,y,CBU,n,n,6,CI,n,1965,650,0, , , ,0,650.0730818,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group C,650.0730818,10.79631042,10
101,r39137,i,y,CBU,n,n,6,CI,n,1974,156,0, , , ,0,156.1521255,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,156.1521255,0.126876831,0
102,r3881,i,y,CBU,n,n,8,DI,n,1988,35,0, , , ,0,35.09615496,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,35.09615496,0.291244507,0
103,r3896,i,y,CBU,n,n,3,DI,n,1989,150,0, , , ,0,150.325438,0,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,150.3254381,0.543075562,3
104,s4235,i,y,CBU,n,n,24,CI,n,1965,33,0, , , ,0,33.11051245,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,33.11051245,0.152984619,0
105,s424,i,y,CBU,n,n,6,DI,n,1987,16,0, , , ,0,15.90285534,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,15.90285534,0,0
106,s4217,i,y,CBU,n,n,6,DI,n,1983,119,0, , , ,0,118.8577832,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,118.8577832,1.622390747,0
107,u4422,i,y,CBU,n,n,6,CI,n,1960,29,0, , , ,1,28.73672518,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,28.73672518,1.270385742,0
108,t4443,i,y,CBU,n,n,6,CI,n,1961,113,0, , , ,3,113.2650635,2,Ua,"Udorthents, loamy",,113.2650635,0.333358765,1
109,t4415,i,y,CBU,n,n,6,CI,n,1960,565,0, , , ,1,565.3439772,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,565.3439772,1.77784729,6
110,wp238,i,y,CBU,n,n,8,DI,n,1992,22,0, , , ,0,21.84036062,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,21.84036062,0.096099854,0
111,wp132,i,y,CBU,n,n,12,CIDI,n,1980,59,0, , , ,0,58.70311346,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,58.70311345,0.413314819,0
112,q5411,i,y,CBU,n,n,6,CI,n,1965,19,0, , , ,0,19.01406958,3,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,19.01406958,0.222381592,0
113,k4321,i,y,CBU,n,n,6,CI,n,1967,148,0, , , ,0,148.005523,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,148.005523,0.806640625,1
114,t4556,i,y,CBU,n,n,6,C900,n,1985,20,0, , , ,0,19.58339205,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,19.58339205,0,0
115,wp3078,i,y,CBU,n,n,6,DI,n,1992,149,0, , , ,0,148.5838189,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,148.5838189,0.495391846,0
116,wp2990,i,y,CBU,n,n,8,CIDI,n,1966,19,0, , , ,0,19.27215842,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,19.27215842,0.228515625,0
117,wp1437,i,y,CBU,n,n,12,CI,n,1957,316,0, , , ,0,315.9355163,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,315.9355163,0.990219116,3
118,q5315,i,y,CBU,n,n,8,CI,n,1965,1324,0, , , ,1,1324.064388,3,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group B,1324.064388,30.48776245,0
119,q5265,i,y,CBU,n,n,6,DI,n,1981,50,0, , , ,0,49.81187201,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,49.81187201,0.443450928,0
120,k4463,i,y,CBU,n,n,6,CI,n,1967,59,0, , , ,0,59.45078782,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,59.45078782,0.139434814,0
121,q5289,i,y,CBU,n,n,12,CI,n,1965,235,0, , , ,0,235.3563267,3,Wa,"Wakeland silt loam, 0 to 2 percent slopes, frequently flooded",Group B/D,235.3563267,1.509552002,0
122,q5217,i,y,CBU,n,n,6,CI,n,1959,231,0, , , ,2,231.3884721,2,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,231.3884721,1.882949829,1
123,q46188,i,y,CBU,n,n,6,CIL,n,1922,221,0, , , ,0,221.0483322,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,221.0483322,0.611465454,6
124,q4588,i,y,CBU,n,n,6,CI,n,1970,38,0, , , ,0,37.63837959,3,Ua,"Udorthents, loamy",,37.6383796,0.014556885,0
125,q461,i,y,CBU,n,n,4,CIL,n,1895,195,0, , ,"1950 & 1980s Qtr Sections show this as 6"" (1898 & 1913 Sanborn maps & main bresk record say 4"")",1,194.8221327,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,194.8221327,2.407592773,3
126,q46100,i,y,CBU,n,n,4,CIL,n,1890,26,0, , ,Sanborn map says 6in,1,26.49043966,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,26.49043965,0.146286011,0
127,l44116,i,y,CBU,n,n,6,CI,n,1962,539,0, , , ,2,538.7371682,2,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,538.7371682,2.007110596,7
128,q4543,i,y,CBU,n,n,16,CIL,n,1925,213,0, , , ,0,212.5725813,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,212.5725813,3.202987671,3
129,wp1235,i,y,CBU,n,n,6,DI,n,1995,52,0, , , ,0,5.21469063,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,5.21469063,0,0
130,s3910,i,y,CBU,n,n,4,CI,n,1976,49,0, , , ,0,49.06013169,4,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group C,49.06013169,0.495788574,0
131,s3911,i,y,CBU,n,n,4,CI,n,1976,445,0, , , ,4,444.752305,3,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group C/D,444.752305,1.573425293,6
132,s3916,i,y,CBU,n,n,6,CI,n,1976,392,0, , , ,0,391.6375873,4,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group C/D,391.6375873,3.708297729,4
133,s392,i,y,CBU,n,n,6,CI,n,1965,150,0, , , ,2,149.8069846,2,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,149.8069846,4.370742798,2
134,s3934,i,y,CBU,n,n,6,DI,n,1989,88,0, , , ,0,88.06722233,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group C,88.06722233,1.460601807,1
135,s3211,i,y,CBU,n,n,2,DI,n,1991,30,0, , , ,0,29.92185663,0,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group C/D,29.92185663,0,0
136,s331,i,y,CBU,n,n,36,PC,n,1966,438,0, , , ,0,437.8675871,2,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,437.8675871,1.647415161,8
137,q46209,i,y,CBU,n,n,6,CIL,n,1910,101,0, , ,betw 1898 & 1913,1,100.847493,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,100.847493,0.733383179,3
138,o5172,i,y,CBU,n,n,6,CI,n,1961,16,0, , , ,0,15.96890798,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,15.96890798,0.091415405,0
139,o5176,i,y,CBU,n,n,6,CI,n,1961,528,0, , , ,0,527.5817959,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,527.5817959,1.451004028,12
140,o5180,i,y,CBU,n,n,6,CI,n,1961,313,0, , , ,0,313.2085618,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,313.2085618,0.651473999,6
141,o5219,i,y,CBU,n,n,12,DI,n,2000,17,0, , , ,0,21.22403891,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,21.22403891,0,0
142,o5126,i,y,CBU,n,n,6,DI,n,1990,135,0, , , ,0,134.8186646,4,Ua,"Udorthents, loamy",,134.8186646,0.653839111,2
143,wp7901,i,y,CBU,n,n,12,DI,n,1998,125,0, , , ,0,117.9313391,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,117.9313391,1.875671387,0
144,q4829,i,y,CBU,n,n,18,CIL,n,1925,31,0, , , ,0,31.03915408,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,31.03915408,0.160400391,0
145,q5243,i,y,CBU,n,n,6,DI,n,1977,405,0, , , ,0,404.6693824,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,404.6693824,0.360916138,4
146,q5163,i,y,CBU,n,n,6,CI,n,1959,29,0, , , ,0,28.81361032,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group C,28.81361032,0.817550659,0
147,q514,i,y,CBU,n,n,18,CIL,n,1925,424,0, , , ,0,423.7167551,3,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,423.7167551,1.899871826,1
148,r40101,i,y,CBU,n,n,6,CI,n,1973,53,0, , , ,0,52.9405759,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,52.9405759,0.215698242,0
