OBJECTID,tag,status,cbu,owner,metered,fire_line,diameter,material,polywrap,yr_inst,length,yr_abandon,yr_removed,yr_replace,comments,NumberOfMa,Shape_Leng,Score,Soil_Comp,Soil_Comp_Full,Soil_Hydro_Group,Shape_Length,ElevChange,NumberofSLs
2634,wp19480,i,y,CBU,n,n,12,DI,n,2005,26,0, , , ,0,25.59610881,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,25.59610881,0.054092407,0
2635,p4438,i,y,CBU,n,n,8,CIL,n,1893,364,0, , ,"1913 Sanborn, but installed when Upper Twin Lake built",1,363.8618895,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,363.8618895,1.745300293,0
2636,p4443,i,y,CBU,n,n,8,CIL,n,1893,89,0, , ,"1913 Sanborn, but installed when Upper Twin Lake built",0,89.4040207,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,89.4040207,1.266845703,0
2637,wp27587,i,y,CBU,n,n,6,DI,n,2012,19,0, , , ,0,18.63030055,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,18.63030055,0.094268799,0
2638,wp27181,i,y,CBU,n,n,6,CI,n,1972,19,0, , , ,0,18.73440232,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,18.73440232,0.222015381,0
2639,wp973,i,y,CBU,n,n,24,CIDI,n,1965,166,0, , , ,0,165.6595033,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,165.6595033,1.790542603,1
2640,wp1748,i,y,CBU,n,n,24,CIDI,n,1965,70,0, , , ,0,70.21434458,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,70.21434459,0.254837036,0
2641,s4890,i,y,CBU,n,n,8,CI,n,1962,157,0, , , ,0,156.7765189,3,Ua,"Udorthents, loamy",Group B,156.7765189,1.860992432,0
2642,s46103,i,y,CBU,n,n,12,CI,n,1971,65,0, , , ,0,64.60760766,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,64.60760766,0.255111694,0
2643,wp3473,i,y,CBU,n,n,12,DI,n,1995,16,0, , , ,0,15.65253353,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,15.65253353,0.175109863,0
2644,s47135,i,y,CBU,n,n,12,CI,n,1954,19,0, , , ,0,19.0094413,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,19.0094413,0.446685791,0
2645,r3880,i,y,CBU,n,n,8,DI,n,1988,500,0, , , ,0,499.6638973,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group C,499.6638973,5.515869141,5
