FID,tag,wodate,datedone,size,material,install_yr,location,comments,abandoned,globalid
777,wpbrk1024,02/09/05,02/09/05,4,DI,1977,In front of house 1416 S. Sare Rd, ,n,{B29309CE-2CF6-4481-A425-BF8D7E6AFC56}
778,wpbrk1044,02/22/05,02/22/05,6,unknown,unknown,In front of 111 S Jordan in the street, ,n,{61A684A1-AB51-4988-B69B-6130FE699129}
779,wpbrk1049,05/22/05,05/22/05,6,CI,1959,22ft west of hydrant 986, ,n,{88F2144D-D67E-4771-9540-99C00FA4CA58}
780,wpbrk1061,08/08/05,08/05/05,6,CI,1964,under edge of road in front of 3741 N Kinser Pk., ,n,{BF818C46-77F9-45B9-9312-93E90ADD2B27}
781,wpbrk1062,08/15/05,08/15/05,4,unknown,unknown,5930 S. Phyllis St., ,n,{6D9CDA12-1579-4B96-8B36-51D41FDA2B45}
782,wpbrk1063,08/14/05,08/14/05,6,unknown,unknown,in front of 735 E Pepperridge Dr. behind curb, ,n,{3344815C-44F4-45C4-BF01-DA1457C17E6A}
783,wpbrk1064,7/27/05,7/27/05,6,CI,1960,Between 1909 and 1917 edge of road, ,n,{DD7BFF9E-54C6-4F0D-8DA5-F08FE1D304E2}
784,wpbrk1065,7/27/05,7/27/05,6,unknown,unknown,In street east side of road in front of 1507 S Nan, ,n,{B1B32F38-CEB0-4930-AF74-88D6AC67AD5D}
785,wpbrk1066,09/25/05,09/25/05,6,CI-lead joint,1922,"10th & Jordan, NE; 6 x 18 fullseal", ,n,{CF81BFA7-BF6E-4B95-B780-3169953E61E7}
786,wpbrk1067,09/28/05,09/28/05,12,CI,1961,Windcrest and Parkview/8 ft replaced, ,n,{232381E9-A8EF-4452-A908-AEC698E8807F}
787,wpbrk1069,10/25/05,10/25/05,4,CI,1971,2205 E Rock Creek; 5 ft cut in 4 in line, ,n,{17437E46-8D23-4E66-8C58-2B4836F61D18}
788,wpbrk1070,11/02/05,11/02/05,2,Polyethylene,2005,NE of 108 S Rogers/next to pit/comp fitting on 2 inch PE pipe, ,n,{B2DE2155-A831-479C-9F65-B039F9F933C6}
789,wpbrk1071,11/15/05,11/15/05,4,CI,1965,135 E Sunny Slopes/70 W of MH 3560, ,n,{0EECF3CE-5AFC-4CFA-B9BC-59FF4727D529}
790,wpbrk1072,11/14/05,11/14/05,4,CI,unknown,715 W Ladd/8.5ftS of CL/4x7full seal clamp, ,n,{589539E7-D714-4A32-B1D2-B1DCE76FE896}
791,wpbrk1073,11/16/05,11/16/05,6,DI,1988,3304 Roy Schmalz Ct/6ftW of hyd/14ftW inlet, ,n,{F9F08A45-7516-46BD-B859-BA665DDC2B66}
792,wpbrk1074,09/26/05,09/26/05,6,CI,1959,2000 W Vernal/at cornr of 11th St-2 full seal, ,n,{C2B7FEB9-F402-4627-B699-D81995DBE6A9}
793,wpbrk0785,04/13/98,04/13/98,2,Galvanized,unknown,"galv, rep w/ 3ft SDR26; OD 2.55in; dep 31in", ,n,{307D9493-ACE5-486C-848C-1FFF651BA424}
794,wpbrk1077,12/06/05,12/06/05,12,CI,1966,1708 S High/full seal clamp, ,n,{D10F04B3-D6FA-4A9B-A072-AD49B73A295C}
795,wpbrk1078,12/02/05,12/02/05,6,CI,1958,801 S Pleasant Ridge/full seal clamp, ,n,{2A54E297-91A2-458F-8C7F-35B8EE4105DE}
796,wpbrk1079,12/19/05,12/19/05,6,CI,1956,2015 N Kinser Pk/6in full seal, ,n,{A30B2D8B-639D-478B-920D-1A41DA8D8F8C}
797,wpbrk1080,12/15/05,12/15/05,16,CI-lead joint,1925,N Dunn/S of 214/at alley/installd bell clamp, ,n,{1ABB8654-D6FA-473E-842E-FA79C337E0DF}
798,wpbrk1081,12/10/05,12/10/05,6,CI,1959,2922 Ramble E/no other info, ,n,{F2635B9C-56B8-4D37-919C-6D6F278581E0}
799,wpbrk1082,12/30/05,12/30/05,8,CI-MJ,1955,1604 W Arlington Rd/8in full seal clamp, ,y,{31833826-14C9-4FF3-8BD7-F68BA708C9FD}
800,wpbrk1083, ,feb 7 06,6,DI,1992,private fire line-1412 N Jordan_feb_07_2006, ,n,{FDA5CB32-3CF4-4949-BC5A-8F513DA3D1D1}
801,wpbrk1084,02/10/06,02/10/06,4,CI,1957,S Ballantine/112ftS of valve at Bal/maxwell, ,n,{F79BCA2A-3354-4E22-A06D-6B2D590D7778}
802,wpbrk1085,02/17/06,02/17/06,6,CI,1960,3713 Brownridge/11ft W Hyd 3951, ,n,{942AC527-B4A2-4401-BFC6-DF414DE522F0}
803,wpbrk1086,02/17/06,02/17/06,8,CI,1965,Hillview Dr/78ft N of N Old SR 37, ,n,{C2442013-D6E7-42C4-80EF-183BCF763F1C}
804,wpbrk1087,02/20/06,02/20/06,6,CI,1960,1175 E Arden Dr/6ft N of CL road, ,n,{6565B4B0-F012-4C36-A544-1D4F16AD2C96}
805,wpbrk1088,03/15/06,03/15/06,6,CI,1958,600 S Pleasant/6x7clamp/corrosive hole/1'W pave, ,n,{991585B9-44A0-4C8D-98E5-032A12DC409B}
806,wpbrk0268,12/05/90,12/05/90,6,CI,1958,600 S Pleasant Ridge Rd, ,n,{DC19DF27-BC4B-4BD9-AC0A-9EBA0F8C101A}
807,wpbrk0436,01/07/88,01/07/88,6,unknown,unknown,1300 S Rogers, ,n,{35644DAB-C08F-4046-B6BA-E4D6E6D71ED3}
808,wpbrk1093,04/28/06,04/28/06,6,CI,1959,901 N Lindbergh/3ftW CL/circle brk/valves not work, ,n,{57C0189C-16F2-40D6-85F9-5F5B88661159}
809,wpbrk1096,10/25/06,10/25/06,6,CI,1956,"2.5ft frm N EP, 197ft frm W vlv, 144ft frm E vlv", ,n,{2B621949-1A0C-40EA-B8CC-4179F22B17C7}
810,wpbrk1097,10/30/06,10/30/06,12,CI,1953,200blk W 8th/8'w valve to Smallwood, ,n,{18FDEEF2-B5B5-4539-8969-E3700C8887A8}
811,wpbrk1098,11/16/06,11/16/06,6,CI,1961,"626 N Staats Dr/E side of road/6""fullseal clamp", ,n,{BFC5AE38-4965-4125-A7B1-70A049488E71}
812,wpbrk1099,11/16/06,11/16/06,4,CI,1964,"509 N Colony Ct/W side rd/4"" fullseal clamp", ,n,{3609B5D1-23EA-4244-8134-FBB209E214A5}
813,wpbrk1100,11/28/06,11/28/06,8,CI,1962,1430 N Jordan/55'N line valve/8x12 full seal, ,n,{E0AE10C8-B0CD-4638-994A-F78EED7C0DA1}
814,wpbrk1101,11/29/06,11/29/06,2,unknown,unknown,"1607 S Clifton/2""fullseal/hand dug", ,n,{C0C9C1F3-1E90-46BE-BD80-EA578D62CFB5}
815,wpbrk1102,12/11/06,12/11/06,6,unknown,unknown,4323 E Steohens/220'SW of valve v4722, ,n,{2324EA86-69EB-4EEC-928D-2D3FD32D3B4D}
816,wpbrk1103,12/7/06,12/7/06,16,CI,1960,916 N Orris/80'S of valve o4726/12'deep, ,n,{8B0DDB3D-623A-4C44-86AD-3EAC0E12C4DE}
817,wpbrk1104,01/01/07,01/01/07,6,CI,1961,"4005 N Rural/32\"" W of pave/short full-seal clamp", ,n,{B4B15F63-9F13-4395-BBE8-32578A5F9C0B}
818,wpbrk1105,01/02/07,01/02/07,8,CI,1961,Woodscrest behind Eastland/15'Ncurb/16'cl road, ,n,{01D2FD0F-B155-4F3F-A20C-31F96661D418}
819,wpbrk1106,01/24/07,01/24/07,8,CI-MJ,1955,8in full seal, ,y,{E0556EA4-37E6-4EF5-AADE-28A51825B7E3}
820,wpbrk1107,01/24/07,01/24/07,6,CI-lead joint,unknown,6in full seal, ,n,{FA9E2EB3-C9FC-41F9-8CFE-5F568863D7CF}
821,wpbrk1108,01/29/07,01/29/07,12,unknown,unknown,full seal clamp; 904 S Henderson - full seal clamp, ,n,{6BAE9895-169E-4052-88E2-709A1BA1617A}
822,wpbrk1110,01/29/07,01/29/07,6,CI,1959,full seal clamp, ,n,{60898F29-4ECA-45C4-A76C-9AF95BF98258}
823,wpbrk1111,01/08/07,01/08/07,2,unknown,unknown,Martha Street, ,n,{9D6B9AC3-457D-42D7-ACD6-07D88C374844}
824,wpbrk1112,02/02/07,02/02/07,6,CI,1957,"49ft S of Hyd-905, standard OD", ,n,{DF11A342-2080-47E7-A4F6-FDDD783A4229}
825,wpbrk1114,02/11/07,02/11/07,6,CI,1961,"3ft in from curb, repaired with full seal", ,n,{02FA87F5-F3B4-4B3F-8712-F53DF60994A2}
826,wpbrk1115,02/19/07,02/19/07,4,unknown,unknown,13'N of 2227 S Rogers/56'E of hydrant, ,n,{4F18CB7A-790D-4A1D-872C-4F3D21BEFD96}
827,wpbrk1116,02/23/07,02/23/07,6,CI,1959,"404ft NW of line valve by Hyd01007, std. OD", ,n,{28211E46-E3AA-4533-90FA-B682CBAA15D8}
828,wpbrk1117,04/9/07,04/9/07,12,CI,1953,S of 323 S Eastside on Atwater/full seal clamp, ,n,{B166AB61-532B-4696-A359-83DFDCB24328}
829,wpbrk1118, ,05/07/07,6,CI,1956,full-seal with 1in tap for 2602, ,n,{780EEEB3-C67E-4F9C-856F-C14E653A927F}
830,wpbrk1120,06/17/07,06/17/07,6,DI,1980,1539 S Maxwell/2ft W edge of rd/inline w/pit, ,n,{9CD05505-46D5-44A0-982E-0DB7171466B7}
831,wpbrk1121,06/16/07,06/16/07,6,unknown,unknown,Jordan-17th/2 full seals-1ft apart/2 holes, ,n,{BF9FB019-0BEC-4F8A-889A-4746D5123E4C}
832,wpbrk1122,06/16/07,06/16/07,6,unknown,unknown,Jordan-17th/3rd hole/full seal 6ft from other brks, ,n,{A2FBB9B4-22C7-42A1-A323-5DA353E9AC52}
833,wpbrk1123,07/10/07,07/10/07,6,CI,1951,"4297 N Old SR 37/39'S of Audubon/36""edge of rd", ,n,{A023A3FE-9C1A-45D0-A117-92B7B1D4E762}
834,wpbrk1124,08/13/07,08/13/07,6,CI,1964,4223 E Saratoga/36' W of hydrant, ,n,{98C0BF9E-422A-4F96-9B17-3144D2959F52}
835,wpbrk1125,08/17/07,08/17/07,6,DI,1977,1015 W Cascades Ave/full seal/2'S of road, ,n,{01279591-B32C-40BE-96B7-ABBE8E16F6E2}
836,wpbrk1126,08/17/07,08/17/07,6,CI,1969,4587 E Heritage Woods/S side @serv line, ,n,{ACAC4E2E-EEAC-4B68-8A23-584DE844AAF7}
837,wpbrk1128,08/28/07,08/28/07,6,CI,1961,30'S of hyd 2004/HickoryLf/3'W of rd, ,n,{2F8F0AB8-2EE7-4D65-B0E1-0A6A4515AB9A}
838,wpbrk1129,08/27/07,08/27/07,6,CI,1972,3518 S Wellington/middle of driveway/3'W of curb, ,n,{A3B11374-8AF3-443E-B242-9D147BB72F66}
839,wpbrk1130,08/30/07,08/31/07,4,CI,1973,on 4in N from 4x4 tee - valve to N is closed, ,n,{1B97522F-9840-4ABD-B2C0-3D3A9BD9DEFE}
840,wpbrk1131,08/27/07,08/27/07,4,CI,1962,betw 1500/1640 N Jordan; 4in service, ,n,{3122A12C-3B76-4991-9AC1-41C593635428}
841,wpbrk1132,09/12/07,09/12/07,6,CI,1957,"14 ft West of driveway, 4 ft South of Deckard Dr.", ,n,{ED960624-1712-43F5-AB55-FD2F08C9E511}
842,wpbrk1133, ,09/17/07,6,CI,1961,33ft S of valve, ,n,{3E367CDB-D422-4D43-9AE4-3F3165E9745F}
843,wpbrk1137,09/22/07,09/22/07,12,CI,1961,3711 W Parkview/58' W of valve N of hyd 1234, ,n,{F20B5B25-B89F-4B0D-87A7-22FC16513031}
844,wpbrk1138,10/8/07,10/8/07,6,unknown,unknown,SW cor Wayside & S OLD SR 37/E of hyd in drive, ,n,{4C5C7538-329A-41D8-8514-06A17FBD9961}
845,wpbrk1139,10/15/07,10/15/07,6,CI,1961,"5ft W of pvmt, 6x12 full-seal", ,n,{6DE409DF-DA4A-4562-A2AD-564A76E8BE56}
846,wpbrk1141,10/17/07,10/17/07,6,CI,1961,"S Sims near hyd2065/6"" fullseal/ctr of rd", ,n,{FE676E75-CBD7-4054-81B7-5C931BB9101E}
847,wpbrk0499,09/16/86,09/16/86,6,CI,1961,S Sims Ln at Fullerton Pk, ,n,{43A2FC1F-1AB7-42FB-B09E-79C1BD1969F7}
848,wpbrk1142,08/30/07,08/30/07,6,CI,1956,Betw 4272-4262 W Broadway, ,n,{EAF37A04-EE2B-4933-8815-FA914A4AA38C}
849,wpbrk1143,10/25/07,10/25/07,6,CI,1961,3511 N Windcrest/W side rd/6in fullseal, ,n,{031CBDB2-E994-4983-9DE0-11CA5D1D6C89}
850,wpbrk1144,10/25/07,10/25/07,6,unknown,unknown,3121 E St James Ct/N side/2-6in fullseals, ,n,{49EAE882-FC69-4B71-93A4-E17D89761B0A}
851,wpbrk1145,11/09/07,11/09/07,10,unknown,unknown,betw hyd tee & service to apartments, ,n,{BEC25CDF-5BED-497D-9365-48EB711220DB}
852,wpbrk1146,19/11/07,19/11/07,12,CI,1957,between hydrant tee & 6in valve to west, ,n,{68BBE71A-8F8B-4323-A8B8-C75DD868C95D}
853,wpbrk1147,19/11/07,19/11/07,6,CI,1967,full seal clamp, ,n,{2A748B5B-8568-419B-91BE-F78F994AE695}
854,wpbrk1148,12/05/07,12/05/07,12,DI,1985,Oakdale Dr/in pavement/12in bell clamp, ,n,{4849571F-0941-45C3-9B74-88A64461A503}
855,wpbrk1149,12/17/07,12/17/07,6,CI,1958,"161ft W of Hyd-1029, standard OD full-seal clamp", ,n,{7DE37BE6-F4AC-43EC-977D-BC9240EDADCC}
856,wpbrk1150,12/17/07,12/17/07,4,CI-lead joint,1890,47ft W of line valve, ,n,{EAB41A37-DF87-4759-8371-1705367F80D6}
857,wpbrk1151,12/17/07,12/17/07,4,CI-lead joint,1890,50ft W of line valve, ,n,{69C9DC7E-D62C-49BA-A152-8221EDEDEAE8}
858,wpbrk1152,12/19/07,12/19/07,6,CI,1953,6in full seal, ,n,{0A02D148-9BB1-4F21-ABD4-153F4620B83B}
859,wpbrk1153,12/26/07,12/26/07,6,CI,1959,6ft E of valve, ,n,{BCF16134-4D17-47CC-99FC-FC5C2927CEC1}
860,wpbrk1155,12/28/07,12/28/07,6,CI,unknown,"17ft W of Hyd-26, 6in full-seal clamp", ,n,{E7E9AE20-1C3D-4F8F-97D0-69F207E086A1}
861,wpbrk1156,01/02/08,01/02/08,4,CI,1946,full-seal clamp, ,n,{66A0EA39-F0D2-4460-8B38-3550F48A7E21}
862,wpbrk1158,11/14/07,11/14/07,8,CI,195,"221ft WNW of branch line valve, standard OD", ,n,{E531FAC6-DDEA-4B39-9D6F-58B9866534DA}
863,wpbrk1160,01/29/08,01/29/08,6,CI-lead joint,1928,500 S Highland/6ft S of hyd 2330, ,n,{3D0A06AA-1071-4535-82B8-476B4E15F127}
864,wpbrk1161,02/25/08,02/25/08,6,CI-lead joint,1929,1708 E 3rd - 24in long full seal clamp, ,n,{048CCC8F-600E-4E98-9639-423023C78F05}
865,wpbrk1162,02/25/08,02/25/08,6,CI,1965,2810 Brookside/7ft from E side rd/6inCI/full seal, ,n,{6DB3E443-9AC6-485A-B61F-958595D4A048}
866,wpbrk1163,02/25/08,02/25/08,6,CI,1970,"in tree plot, full seal clamp", ,n,{C62DA041-160E-400B-A336-C9C8BF9C6BCA}
867,wpbrk1164,02/27/08,02/27/08,6,CI,1951,full seal clamp, ,n,{1FEA7A17-78E4-497A-BB5E-27B4871114DF}
868,wpbrk1165,02/06/08,02/06/08,6,CI,1951,4328 N Old SR 37/N edge of drive/140ft frm hyd/cra, ,n,{3419E10D-6E07-4B5A-A651-B312A996CE86}
869,wpbrk1166,03/10/08,03/10/08,6,DI,1987,2348 E Linden Hill/2 holes in main 70 and 81 ft line valve s3911, ,n,{D137BF47-ADCC-4878-8F7F-9268E1408F7E}
870,wpbrk1167,03/10/08,03/10/08,6,DI,1987,2348 E Linden Hill/ 2 holes in main; 70 and 81 ft from line valve s3911, ,n,{0CB0E902-1D68-495E-B6FA-B85F02B1E4E0}
871,wpbrk1168, ,03/27/08,6,DI,1988,NE of 3440 S Ashwood/E side rd next to meter pit/f, ,n,{D422B607-3D0E-4341-B8C2-5811B68A7124}
872,wpbrk1170,04/01/08,04/01/08,6,CI-lead joint,1922,11th_and_Maple/5ft W of valve/6in fullseal/also sh, ,n,{4470BCAC-A87C-4A86-ABE6-260953EDB7FD}
873,wpbrk1172,05/14/08,05/14/08,6,DI,1983,2700 S McCarthy Ln/8ft W curb at cor/bldg-fullseal, ,n,{A0083095-D290-4E17-A78B-24D960F6EC18}
874,wpbrk1175,05/20/08,05/20/08,6,DI,1988,Intersection Autumn Ct_Autumn Dr-54in of 6in DI pi, ,n,{F80FE21C-5312-4AB8-938F-44D30FD1A2EE}
875,wpbrk1177,07/15/08,07/15/08,6,CI-lead joint,1929,1624 E 3rd-3in hole/bottom-6x12 full seal-30ftW cl, ,n,{28206DE0-C827-49FA-8B5F-09795062A240}
876,wpbrk1182,08/13/08,08/13/08,12,unknown,unknown,"10th & Bypass, approx 10ft W of 20in main, removed 62in of pipe, installed new valve 50ft W of CL 13ft N of CL", ,n,{71BBCB8B-1155-4729-8A12-8B747FCDFAA4}
877,wpbrk0329,07/02/89,07/02/89,12,unknown,unknown,Tenth and Bypass, ,n,{7452CF90-F5B1-418A-AEE7-84A916F6589F}
878,wpbrk1183,08/14/08,08/14/08,12,unknown,unknown,"E 10th St, E of TulipTree Dr, full seal w/old full", ,n,{41B26AE1-B07B-40C4-918D-6035F9E77DC6}
879,wpbrk1184,08/13/08,08/13/08,6,CI-lead joint,1929,"3rd & Eastside, full seal beside old full seal", ,n,{A5E90ECD-74A7-4615-BEFB-8EF02CC00AD5}
880,wpbrk1185,08/15/08,08/15/08,6,CI,1960,"Pine St, W of hyd tee, 8x1.5 hole in bottom, 15in fullseal, 2in plast gas 20in S 19in dp, 4in CI (aband water) 12in N 32in dp", ,n,{A25945B7-19EA-41B0-9AAB-DFDC3175BD3D}
881,wpbrk1186,08/16/08,08/16/08,6,CI,1964,"3741 N Kinser, N edge of S curb, 5x3 hole in bottom, 12in full-seal", ,n,{916DECD5-AA6F-4AC9-AC2E-7E6F0727AB1A}
882,wpbrk1187, ,08/25/08,6,unknown,unknown,"39ft N of line valve, 6in clamp", ,n,{13FAE63A-5597-4992-B1A6-080A90084EA7}
883,wpbrk1188,09/16/08,09/16/08,8,CI,1965,"full seal clamp, on rock", ,n,{FF7CA422-6AEB-4C32-8DBD-C8B6E65FC496}
884,wpbrk1189,10/20/08,10/20/08,6,CI,1964,4011 W Glen Oaks Dr - 134ft from valve E of hyd 1979 - 46in deep, ,n,{177A0BCC-C160-4927-ACEE-57F2B5904735}
885,wpbrk1190,10/04/08,10/04/08,6,unknown,unknown,Fairwood & Richland Dr intersection - 28ft W of tee on E side - 40in deep, ,n,{810E5A11-F8FA-4133-ADE1-BCBD9C6C9A27}
886,wpbrk1191, ,10/30/08,4,CI,1959,in front of 1225, ,n,{7D9A101E-0EDF-4851-8E8D-ADF1185B30DA}
887,wpbrk1193,11/10/08,11/10/08,12,CI,1966,High and Wimbleton-32ft S of line valve-6in full seal clamp, ,n,{DC274591-7F4C-4B2B-A749-AE09BBDB998E}
888,wpbrk1194,11/13/08,11/13/08,12,CI-lead joint,1934,2617 S Rogers-6in CI break- 233ft N of hyd 1325 - full seal clamp, ,n,{98BB1E5A-8CE2-4DFB-AC26-84BC4F188EBB}
889,wpbrk1195,11/14/08,11/14/08,6,CI,1957,602 N. Kerry Dr. 133' south of fire hydrant-full seal repair, ,n,{487CE328-038A-4045-BA97-4A3017C90780}
890,wpbrk1196, ,11/25/08,6,CI,1959,S of 1410 W 15th, ,n,{9CE245FB-A379-499D-8B0C-F10AAB4C0FDA}
891,wpbrk1197, ,11/25/08,6,DI,1975,slightly N of N edge of 901 S Jordan, ,n,{8D451D65-5E08-447D-BF58-DF0355CE174D}
892,wpbrk1198, ,11/25/08,6,CI,1958,W side of Woodlawn at Southdowns, ,n,{85AAD133-3920-446B-8F33-26F48CEA21FD}
893,wpbrk1199,11/10/08,11/10/08,12,DI,1999,Bottom Rd-replaced 5ft pipe betw 45 degree bends-North of MH 3253 (blew apart), ,n,{28D29850-4DD1-41A6-B219-19B7076EF10D}
894,wpbrk1200,12/02/08,12/02/08,6,CI,1946,Guy and Rockport intersection, ,n,{EF4A2E4B-1EA0-4CE1-91B4-CFEA8315F556}
895,wpbrk1013,12/20/04,12/20/04,6,C-900,2018,"4ft west of manhole, 8ft south of centerline", ,n,{1AD02C8E-E6F2-4CDE-8C07-45A9E2700F65}
896,wpbrk1202,12/-1/08,12/01/08,6,unknown,unknown,East of Kinser and Hector Intersection - full seal clamp, ,n,{19083C7C-CC4A-4FC8-A896-5BBC1DCB98A8}
897,wpbrk1203,12/10/08,12/10/08,6,CI,196,"12 ft E of valve, full seal", ,n,{43957150-826F-4980-A275-86220CB7B24B}
898,wpbrk1204,12/10/08,12/10/08,6,CI,1953,"S of drive, full seal", ,n,{DA90CA0B-696A-4773-A310-1D5CF7190CE0}
899,wpbrk1207,12/13/08,12/13/08,6,CI,1970,1924 S Locust Ct-full seal clamp 2ft from curb-middle of driveway, ,n,{185B8111-7C8C-4E88-B158-AB346ED2F2EB}
900,wpbrk1208,12/18/08,12/18/08,6,unknown,unknown,"south edge of drive to 2101, 2103, 2107 S Rogers", ,n,{A19E173C-7F9B-413F-81F7-963AAD1E4707}
901,wpbrk1211,01/13/09,01/13/09,4,CI,1910,520 S Park Ave - 5ft E of W curb - 4inch water -36in deep, ,n,{219BB856-29D4-4B53-86FB-02632E3D42B4}
902,wpbrk1212, ,01/15/09,4,unknown,unknown,"full seal clamp, main originally shown on outside of curve, but it cuts to the inside", ,n,{6963D0A4-B280-4A3F-8038-91D497350FDD}
903,wpbrk1213, ,01/19/09,6,CI,1960,"7ft behind curb, 4ft E of drive, (full seal clamp short)", ,n,{48A1135C-50C8-441E-8885-B0AFF51A1012}
904,wpbrk1214,01/20/09,01/20/09,4,CI,1946,"25' W of meter pit for 415 Jed St, (full seal short)", ,n,{0C068FE9-8CE4-413D-B666-F6650F31A2D6}
905,wpbrk1215,01/20/09,01/17/09,6,CI,1966,"Strafford and Arrow Ave. 12' S of north curb  (full seal clamp 12\"" long)", ,n,{C2CFF4F5-40E1-4292-A7B0-5A1179406CE8}
906,wpbrk1216,01/20/09,01/17/09,12,DI,1997,"1712 S High, 3' W of W edge of pavement, E of N side of house (full seal clamp)", ,n,{386A8B37-5E98-47CD-A8AC-037F32A074F0}
907,wpbrk1217,01/20/09,01/16/09,6,CI,1960,"S of 628 S Woodscrest, 2' E of E edge of pavement (full seal clamp 12\"" long)", ,n,{30799FA4-896B-4E93-95F2-2525D70F29D0}
908,wpbrk1218,01/20/09,01/16/09,6,CI,1962,"3' S of E-W curb (full seal clamp 30\"" long)", ,n,{A5D2BBE5-B4DD-479B-8DD1-AB071217EEF4}
909,wpbrk1220,01/22/09,1/22/09,4,CI,1951,1300 S Highland - in drive - 4in CI - 12in long full seal, ,n,{48460E4A-77DE-4AF9-A2A1-04699AE0B0B4}
910,wpbrk1221,02/24/09,02/24/09,6,unknown,unknown,1311 S College Mall (fullseal), ,n,{F114927F-8F9E-472D-81FA-B2A80A305114}
911,wpbrk1222,03/22/09,03/22/09,6,DI,1995,636 E Sherwood Hills Dr-46 ft from hyd valve- full seal clamp-hole in pipe, ,n,{8D17BEF5-DEFC-45A1-BE0E-7EF8A78C46F6}
912,wpbrk1223,04/24/09,48,1,Copper,unknown,"2004 S Xavier Ct-repair 1/2in hole in 1in copper-4ft N curb, 2-1in copper", ,n,{8B755CDA-8ED7-40EC-8DBF-6A558B3FF048}
913,wpbrk1225,05/27/09,05/27/09,6,CI,1964,Sheffield & Hamilton Intersec - 2ft from NW corner in grass, ,n,{1F6AB7E0-08A7-4FC3-93C8-4929601DE7D3}
914,wpbrk1226,07/09/09,07/09/09,18,CI,1963,N Kinser Pike approx 100ft S of intersection w Skyline Dr, ,n,{F545F5D3-CF8F-4FD6-8D0C-C22F8F9D34BF}
915,wpbrk1227,07/08/09,07/08/09,8,unknown,unknown,2320 W Arlington Rd - east side, ,n,{11A97746-E0AD-4F45-9B33-64209D170E7B}
916,wpbrk1229, ,07/15/09,12,CI,1956,"12x2 service saddleback, 16ft S of curb, ductile saddle body with 2 straps", ,n,{578A8D21-538C-45B5-9E8E-F7636F1E0882}
917,wpbrk1230,08/20/09,08/20/09,6,CI,1970,2003 S Locust St-West side road-full seal clamp, ,n,{86BE87FC-F458-4E6B-B576-F21BAF266B30}
918,wpbrk1231,08/23/09,08/24/09,6,unknown,unknown,3121 E St James Ct-4ft N of curb-installed 2 full-seal clamps on 6in DI main, ,n,{5FA2A71A-6177-4C33-81AF-5055E6F76362}
919,wpbrk1232, ,09/08/09,6,CI,1959,"5ft E of valve, 6in full seal clamp, Intersection of Bankers & Rusgan", ,n,{86419B88-D850-410B-8E2E-A01EE6235D36}
920,wpbrk1233,09/08/09,09/08/09,6,CI-lead joint,1928,bike lane in street in line with northeast corner of 1304 (replaced 8' of pipe), ,n,{5A212442-0760-43F2-9B1F-1EB6AE892F13}
921,wpbrk1234,09/08/09,09/08/09,6,CI-lead joint,1928,bike lane in street southeast of 1202 (replaced 4' of water main), ,n,{3840CF02-C786-4EEB-A9BA-345D1E903BB9}
922,wpbrk1236,10/13/09,10/13/09,6,DI,1980,"1520 S Maxwell- 15ft S of mailbox- 25\"" full seal clamp", ,n,{A4DC9198-B28A-4F5A-B2BE-287EE20808ED}
923,wpbrk1237,10/13/09,10/13/09,6,DI,1985,"Diana Ct cul-de-sac - replaced 39\"" of pipe - main not in good shape", ,n,{6ECD9462-3C33-438D-B2DD-71B089D59207}
924,wpbrk1238,10/20/09,10/20/09,6,CI,1951,N Old SR 37- NE of 645 Audubon -  100 ft N of valve at Audubon, ,n,{710ED0F3-A265-4FAB-90CD-E6348D911B80}
925,wpbrk1239,10/24/09,10/25/09,6,CI,1971,Roundhill- N of 2508 - in sidewalk at curve - 6in CI- 2in hole in pipe, ,n,{599BEC6D-82AD-4814-BBE1-B91F385583AA}
926,wpbrk1241,11/16/09,11/16/09,6,CI,1960,1801 E Arden Dr. in line with west edge of house at edge of road (full seal clamp), ,n,{AC7AE989-D9E9-45E4-933B-3C38CB61878B}
927,wpbrk1242, ,11/20/09,6,CI,1964,4105 E Saratoga; 6in main - fullseal, ,n,{61EC5769-2DEC-4265-9835-4A60FE36C67D}
928,wpbrk1243, ,11/20/09,6,DI,1976,"about 20' NE of hydrant tee, 6in stl gas 1ft higher 1ft closer to road", ,n,{D6070328-6589-47AA-A0EC-EA3D828341D6}
929,wpbrk1244, ,11/26/09,6,DI,1988,"2300 E Ashwood - NW of hse - 6\"" long full seal clamp", ,n,{3BDC4BA5-52CE-4C75-B2CD-C8D401AD13AD}
930,wpbrk1245, ,12/07/09,6,CI,1961,"3714 W Oak Leaf Dr, N side of road - main break", ,n,{3830B152-8EFA-4B64-9814-1A97E27B247A}
931,wpbrk1246, ,10/02/09,6,DI,1976,712 E Hunter - 6in DI (Larry Hardin), ,n,{28977AE1-14BF-4C40-932C-51DEDDC4C0A1}
932,wpbrk0020,11/01/94,11/09/94,6,DI,1976,712 E Hunter Ave, ,n,{C12DACE7-6D2A-4ECA-BA1F-173781E8380B}
933,wpbrk1247,12/10/09,12/10/09,6,CI,1957,NE cor of inters-5th&Hillsdale- 4' S of valve t45121 (full seal clamp), ,n,{F9F54F08-DB35-4633-87AC-4395CBADB9AB}
934,wpbrk1248, ,12/13/09,12,CI,193,E Atwater- 63' west of valve on Mitchell (full seal clamp), ,n,{12E03AC5-F7FA-45E9-8DCE-B57A5E33B038}
