FID,tag,wodate,datedone,size,material,install_yr,location,comments,abandoned,globalid
657,wpbrk0811,3/12/99,3/18/99,16,CI,1964,"3811 N Kinser PK 5'4\"" deep, 17.40\"" OD, 10' N of CL (under north edge of pvmt)", ,n,{BD337A34-A7C8-43B1-BC78-B4F9D64CC31A}
658,wpbrk0812,01/05/99,01/05/99,6,CI,1965,"Dodds & Morton/6""full seal/56""dp/42""CL Dodds", ,n,{8AD6619A-D42E-45DF-9ED2-48F3A8031C1E}
659,wpbrk0813,08/16/99,08/16/99,6,CI,1966,"S Booster fire arm/6\""full seal/5'dp/CI", ,n,{1B96353C-C622-43F7-8F8F-14BBF45F7D4A}
660,wpbrk0814,07/28/99,07/28/99,6,CI,1956,"frnt of 2621 KinserPk/8'dp/OD 6.95/6\""brk", ,n,{2F382C6C-8329-4A85-B5A6-2FFEC2AFCF29}
661,wpbrk0815,09/03/99,09/03/99,4,CI,1974,2411 N Barbara main broken around 3'west of road in grass, ,n,{EA4237BC-3740-4BE8-AE74-B5DE20615631}
662,wpbrk0816,09/17/99,09/17/99,6,CI,1956,1809 E Southdowns 11ft N road center line, ,n,{FB7ADC73-F262-42BC-9287-ACAA84D1E05B}
663,wpbrk0818,09/03/99,09/03/99,2,unknown,unknown,"S Fenway cul-de-sac/4'7\""dp/OD 2.55/23'E cl", ,n,{8451E65F-F55E-4D3C-9BAE-4CD796E2D1E3}
664,wpbrk0819,09/02/99,09/02/99,6,unknown,unknown,1202 E Fairwood/4'dp/OD 6.90/in road, ,n,{5A0108EC-8D2C-4AF8-BD16-85EE879021EB}
665,wpbrk0820,09/08/99,09/08/99,6,CI,1959,"117 S Heritage/5'4""dp/OD 6.94/E edge of rd", ,n,{06FD1486-684C-4AAA-95A5-3B45AEB34C17}
666,wpbrk0712,02/13/81,02/13/81,6,CI,1959,117 Heritage, ,n,{B4B14A4A-1EA3-42C8-995A-96FA076B07EE}
667,wpbrk0821,09/27/99,09/27/99,6,CI,1961,"3242 N OBrien/36""dp/OD 6.95/20'E of CL", ,n,{2D57EB4B-FABD-4453-98AA-4E1E15540DF5}
668,wpbrk0822,09/19/99,09/19/99,6,unknown,unknown,4231 W Broadway, ,n,{B5E2F562-3C0C-4F91-93A2-65FE27B3F2C9}
669,wpbrk0823,09/19/99,09/19/99,6,CI,1965,"2103 Montclair/36""dp/1'E of curb/full seal", ,n,{70CEC469-1AFB-4095-841E-7BC74A364F12}
670,wpbrk0824,10/08/99,10/08/99,6,CI,1965,4318 N Overlook/4'dp/OD 6.90/18'E CL, ,n,{D259C356-EEAB-441F-A7FA-03F91B791231}
671,wpbrk0825,09/17/99,09/17/99,6,CI,1975,"opp 1521 S Olive/1\""serv ln/OD 6.95/36\""dp/4'w", ,n,{B13DFABD-DF83-4E0E-82D4-01A663ED07FB}
672,wpbrk0826,10/04/99,10/04/99,6,CI,1957,"SE of 512 N Kerry/OD 6.95/42""dp/13'E of CL", ,n,{3DCBF537-E3A6-405E-938D-516F7568CD64}
673,wpbrk0827,10/09/99,10/09/99,6,unknown,unknown,"2418 E 4th/40""dp/9'S of CL/at edge of rd", ,n,{B8EAFB8D-0E38-4386-AA5C-B3DD5CA69E7F}
674,wpbrk0829,09/22/99,09/22/99,6,CI,1966,NE of 725 S Christopher, ,n,{D02BAAC7-252F-40F1-BD65-6C5B981D935A}
675,wpbrk0830,09/30/99,09/30/99,6,CI,1965,"2225 E Wimbleton/OD6.90/50""dp/17'N of CL", ,n,{477FD634-9510-425F-9515-DD7B2B374266}
676,wpbrk0831,10/04/99,10/04/99,6,CI,1964,"2202 S Fernwood/OD 6.90/4'5""dp/18'W of CL", ,n,{2FB052BC-8781-4815-8112-69CC515A14B9}
677,wpbrk0832,11/02/99,11/02/99,6,unknown,unknown,4415 Stephans Dr/OD=6.90/6'W of Rd/4'deep, ,n,{290E0256-2AEA-4424-8EC1-2C0EE505B235}
678,wpbrk0833,10/25/99,10/25/99,6,CI,1962,"Loroy & Village/NE cor/OD 6.95/51""deep", ,n,{23683E28-2677-4E6F-9EAE-2CF9C488FF38}
679,wpbrk0834,10/20/99,10/20/99,6,CI,1961,3332 N Stoneycrest/W side of road, ,n,{88749F97-B12D-4737-860A-F1D0393A6FCF}
680,wpbrk0835,11/29/99,11/29/99,3/4,Galvanized,unknown,"6th & Lincoln, NE corner, galvanized line", ,n,{AE4219D3-F882-4E28-B6CA-5C03C34E10AA}
681,wpbrk0836,11/12/99,11/12/99,6,CI,1964,"3731 N Kinser Pike/6""mainbreak", ,n,{04C93C94-864E-4FBB-9352-AE11D9E61A94}
682,wpbrk0837,01/15/00,01/15/00,6,CI,1970,E Covenanter/OD 6.90/4'dp/ in curb line (valve cut in at break), ,n,{4BDB7D22-F73D-444C-B235-94B2E3FC03CD}
683,wpbrk0838,01/25/00,01/25/00,6,CI,1957,W of intersection of 4th & Jefferson, ,n,{61582F55-D764-43AA-A2B8-7FA29F85DED6}
684,wpbrk0841,12/18/99,12/18/99,8,unknown,unknown,Arlington at 17th 3'S of Arlington Rd broke around (full seal clamp), ,y,{C7922770-5001-48C9-BB15-A7E2FB4332DE}
685,wpbrk0842,12/10/99,12/10/99,12,CI,1957,High N of Covenanter / 2'W of road, ,n,{77FADC9B-26B7-4A5A-B0F3-9D358DF9F10D}
686,wpbrk0843,12/20/99,12/20/99,4,CI,195,"515 E 2nd, N side of road 4in CI main", ,n,{E5E45CF7-0222-4B43-8D69-688016FF2C47}
687,wpbrk0844,01/06/00,01/06/00,6,CI-lead joint,1926,W of 1st & Highland 8'S of CL, ,n,{0CBA8BA9-EBBE-4BFA-AB31-7222A3866E7D}
688,wpbrk0845,01/24/00,01/24/00,12,CI,1967,"Vera & Fairfax/OD 13.20/4'-8\""dp/16'E of CL", ,n,{8732DA1B-6A0B-4A19-9988-829B505D4CB4}
689,wpbrk0846,01/31/00,01/31/00,6,CI,1951,"4390 N Old SR 37/OD 6.95/32\""dp/14'W of CL", ,n,{CA4A59AC-637D-4F36-BF42-1745A54DAEEB}
690,wpbrk0847,12/15/99,12/15/99,4,CI,1965,"4328 N Old SR 37/OD 5.10/48\""dp/14.15'Wof CL", ,n,{E6F7DC6E-3B6C-4641-B788-862FA84C677C}
691,wpbrk0848,12/30/00,12/30/00,6,CI,1970,"104 N Johnson/4'dp/9'from CL/FM=18\""deep", ,n,{F19B2882-1189-4986-9DB3-D28159EC68F1}
