FID,tag,pipe_tag,pipe_year,date_repor,time_repor,reported_b,date_repai,time_start,time_compl,temperatur,address,pressure_z,direction_,surface_ab,traffic,pressure_c,chl_res_1_,pressure_1,chl_res_11,tallest_bu,special_se,size_of_ma,outside_di,depth_of_p,pipe_mater,type_of_jo,other_line,existing_b,descriptio,damaged_pa,deteriorat,type_of_fa,prev_leaks,number_of_,cause_of_b,remarks,repaired_o,method_of_,repairs_ma,comments,pres_ch_3_,chl_res_3_,pres_ch_31,chl_res_31,solution_s,trench_pum,pump_size_,line_flush,both_direc,abandoned,globalid
217,218,wp7514,1997,2016-06-06,800, ,2016-06-06,830,0,Hot (>70°F),3980 S Sare Rd,Central,Loop,Paved,Medium,95,3.7,0,0,2, ,12,13.2,48,Ductile Iron, ,Gas,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Defect in Pipe, ,Repaired, ,No, ,0,0,0,0,Yes,Yes,2,Yes,No,n,{ECD3C6C5-F170-43BD-8357-05BF0B9B45D4}
218,219,t4186,1983,2016-06-17,0,Customer,2016-06-17,1150,0,Hot (>70°F),S Sare Rd & Winston, ,Loop,Lawn,Heavy,0,0,89,2.5,1,No,6,0,72,Ductile Iron,Push-on/Slip,Electric,Native Soils,Water Main,Pipe Barrel, ,Blow Hole,Yes,1,Water Hammer,DIP,Repaired, ,No, ,0,0,0,0,No,Yes, ,Yes,No,n,{825D1A6E-416B-462C-A5A6-A8E76AD92AA3}
219,220,p5617,1971,2016-06-20,1200, ,2016-06-20,1200,1600,Hot (>70°F),5005 N State Rd 37 Business,Central,S to N,Lawn,Light,155,3.5,0,0,2,No,8,9.05,60,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main, , ,Corporation,Yes,1,Damaged When Installed, ,Repaired, ,No, ,0,3.5,0,0,No,Yes,2,Yes,No,n,{189BD9FC-6D27-4A6C-9558-839CD4E23C31}
220,221,s3933,1988,2016-06-24,1430,Customer,2016-06-24,1600,1930,Hot (>70°F),3434 Ashwood Dr,Central,Loop,Paved,Light,65,3,0,0,2,Yes,6,0,42,Ductile Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,Yes,0,Water Hammer,DIP,Repaired, ,No, ,86,3,0,0,No,Yes,2, ,Yes,n,{24411B22-8840-48FD-8F3F-57EDD902BA1B}
221,222,q3431,1958,2016-07-20,0,Control,2016-07-20,130,600,Hot (>70°F),228 W Church,Central,E to W,Paved,Medium,110,1.82,112,1.8,2,Yes,12,13.2,54,Cast Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel, ,Longitudinal Split,No,0,Improper Bedding, ,Repaired, ,No, ,110,1.8,112,1.82,Yes,Yes,4,Yes,Yes,y,{D6905A7B-99E6-4ACA-B74B-2E386FA96917}
222,223,s4030,1983,2016-07-28,2230,Citizen,2016-07-28,1200,200,Hot (>70°F),2327 Windingbrook Ct,Central,Loop,Paved,Light,75,1.88,0,0,1,No,6,6.9,44,Ductile Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,No,0,Defect in Pipe, ,Repaired, ,No, ,78,1.88,0,0,No,Yes,2,Yes,No,n,{CF38AD96-EFDD-4C9A-BFB4-4E6FA9B525D2}
223,224,wp1894,1994,2016-07-29,1130,Citizen,2016-07-29,1230,1400,Hot (>70°F),3rd & Landmark,West,Loop,Lawn,Medium,77,1.89,0,0,1,No,6,6.9,48,Ductile Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,No,0,Defect in Pipe, ,Repaired, ,No, ,80,1.89,0,0,No,Yes,2,Yes, ,n,{8AD5FFA8-2A63-4DAB-AEF3-09234D77849E}
224,225,q505,1974,2016-09-02,1100,MC Simpson,2016-09-02,1100,1400,Hot (>70°F),211 Glenndora,Central,Loop,Paved,Light,50,2.7,50,2.5,2,No,4,4,50,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Blow Hole,No,0,Water Hammer, ,Repaired, ,No, ,0,0,0,0,Yes,Yes,2,Yes, ,n,{678855F6-E434-4CC7-A20A-8C884BD21B45}
225,226,p48111,1954,2016-09-09,830, ,2016-09-09,845,1230,Hot (>70°F),W 17th & Jackson,Central,E to W,Paved, ,0,0,0,0,0, ,16,0,42,Cast Iron,Mechanical Joint,None,Gravel/Sand,Transmission Line,Pipe Barrel, ,Longitudinal Split,No,0,Ground Movement, ,Replaced, ,No,"Valves closed: 481, 482, 4884, 488, 486, 4817, 4819. After repair was made, opened valve #481 and flushed at hydrants 1159 and new hydrant at 713 W 17th",0,0,0,0,Yes,Yes,6,Yes,No,n,{7D8FB9E8-5DA4-497C-AE49-12119A76C524}
226,227,s552,1961,2016-09-24,645,Control,2016-09-24,830,1130,Mild (55°F-70°F),1314 E Fairwood,Central,Loop,Lawn,None,63,0.26,65,0.26,2, ,6,6.9,50,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,"Improper Bedding, Ground Movement", ,Repaired, ,Yes, ,68,0.23,70,0.25,No,Yes,2,No, ,n,{A88647F3-137A-4C89-A622-ABE08CD5741C}
