FID,tag,pipe_tag,pipe_year,date_repor,time_repor,reported_b,date_repai,time_start,time_compl,temperatur,address,pressure_z,direction_,surface_ab,traffic,pressure_c,chl_res_1_,pressure_1,chl_res_11,tallest_bu,special_se,size_of_ma,outside_di,depth_of_p,pipe_mater,type_of_jo,other_line,existing_b,descriptio,damaged_pa,deteriorat,type_of_fa,prev_leaks,number_of_,cause_of_b,remarks,repaired_o,method_of_,repairs_ma,comments,pres_ch_3_,chl_res_3_,pres_ch_31,chl_res_31,solution_s,trench_pum,pump_size_,line_flush,both_direc,abandoned,globalid
0,1,t4443,1961,2013-01-01,1130,Citizen,2013-01-01,1300,1530,Freezing (30°F-39°F),2nd and Woodscrest Dr.,Central,Loop,Paved,Medium,56,1.32,0,0,3,No,6,6.9,48,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,Yes,0,"Ground Movement, Beam Break", ,Repaired, ,Yes, ,56,1.82,0,0,No,Yes,4,No, ,n,{0A207840-FD35-4051-93CB-1125C930FA72}
1,2,wp15724,1967,2013-01-02,1400,Citizen,2013-01-02,1545,1930,Freezing (30°F-39°F),1403 N Woodburn,Central,S to N,Paved,Medium,0,0,70,0.99,3,No,6,6.9,50,Cast Iron,Push-on/Slip,Gas,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0,"Ground Movement, Beam Break", ,Repaired, ,No,Turned down valve pipe was cracked at corporation,0,0,72,1.21,No,Yes,4,No, ,n,{FDDAA76E-29E7-4355-B866-1DC440D7321B}
2,3,t4142,1971,2013-01-04,930,Tony Eads,2013-01-04,1045,1130,Below Freezing (<30°F),2407 S Spicewood Ln,Central,Loop,Paved,Light,62,1.77,82,1.86,2,Yes,4,4.81,40,Cast Iron,Not Uncovered,Live Water,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,65,1.76,83,1.9,No,Yes,2,No, ,n,{B9E6E1C3-B933-4125-B452-673516A11027}
3,4,p47228,1954,2013-01-11,800, ,2013-01-11,930,1130,Cold (40°F-55°F),1306 N Maple,Central,Loop,Paved,Medium,60,1.68,61,1.68,2,Yes,8,9.1,51,Cast Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,60,1.68,61,1.68,No,Yes,2,No, ,n,{A47ACE53-82D0-4660-B646-1E0D6474BA4C}
4,5,wp20055,1958,2013-01-11,1130, ,2013-01-11,1230,1500,Cold (40°F-55°F),1600 Maplecrest Dr,Central,Loop,Paved,Light,56,1.78,58,1.78,2, ,6,6.95,51,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,56,1.78,58,1.78,No,Yes,2,No, ,n,{FB8CF7E0-9EFD-488F-AE79-ABAC3DB01D25}
5,6,l4410,1964,2013-01-18,1000,Baxter,2013-02-05,1730,145,Cold (40°F-55°F),1001 S Curry Pike,West,Loop,Paved,Heavy,70,2.2,0,0,1,No,12,13.2,144,Cast Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,Yes,0,Ground Movement, ,Repaired, ,No, ,72,2.2,0,0,No,Yes,"2, 4",No, ,n,{012B1F9A-E4D1-4E9D-BF6E-BE17087D5F9F}
6,7,wp21631,1961,2013-01-28,1330,Marlin School,2013-01-28,1500,1745,Mild (55°F-70°F),Marlin School Bothel Ln.,Central,W to E,Lawn,None,54,1.77,0,0,2,No,6,0,48,Cast Iron,Not Uncovered, ,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, , , ,54,1.77,0,0,No,Yes,2,No,No,n,{A714649F-B1A2-460C-9A92-FF36DB4FA29D}
7,8,p4671,0,2013-01-31,1400,Parks Dept.,2013-01-31,1600,1645,Below Freezing (<30°F),1003 W 9th St,Central,Loop,Paved,Light,46,2.09,55,2,1,No,6,6.9,40,Cast Iron, , ,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,46,0,55,0,No,Yes,1.5,No, ,n,{D91C1A68-351A-41BE-AC55-787C4540BF0C}
8,9,wp11277,1970,2013-02-08,1100,Control,2013-02-08,1230,1400,Cold (40°F-55°F),215 N Jonson Ave,West,Loop,Paved,Light,59,1.9,56,1.85,2, ,6,6.95,51,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,64,1.9,60,1.85,No,Yes,2,No, ,n,{D5EDB0A3-AB52-4168-9ED3-5C073C56A7B2}
9,10,wp29666,2014,2013-02-13,100,County Police,2013-02-13,830,1030,Cold (40°F-55°F),2353 W Church Ln,Central,E to W,Paved,Medium,114,1.7,110,1.64,2,No,6,6.9,40,SDR-21 PR200,Mechanical Joint,Sewer,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0, ,Truck hit hydrant caused break; but pipe was in bad condition,Replaced, ,No,Pipe valve and hydrant had to be replaced,121,1.81,116,1.76,Yes,Yes,2,Yes,Yes,n,{ED72950F-5CFC-4C9A-B709-53F9526B6D0E}
10,11,q4030,1957,2013-02-18,1000,Bill Jonson,2013-02-18,1200,1430, ,2451 S Walnut St Pk,Central,WQC, ,Light,26,1.15,0,0,2,No,2,0,36,Cast Iron,Not Uncovered, ,Native Soils,Service Lateral, , ,Glue fitting failure,No,0,Damaged When Installed,Glue fitting,Repaired, ,No,Turned meter off,106,2.2,0,0,Yes,Yes,Vactor,Yes,No,n,{4A26A450-7568-498C-A67A-510B0F780B65}
11,12,wp27874,2013,2013-03-04,1600,Home Owner,2013-03-04,1700,2130,Cold (40°F-55°F),3712 S Fenway Pl, ,N to S,Paved,Light,0,0.94,98,0.94,2,No,2,2.38,60,SDR-21 PR200,Not Uncovered,Sewer,Native Soils,Water Main,Pipe Barrel,Both,Blow Hole,Yes,2,Ground Movement, ,Replaced, ,Yes, ,98,0.94,98,0.94, ,Yes,4,Yes,No,n,{94AC78A8-D802-4670-97F6-D15121F073E0}
12,13,r3723,1989,2013-03-05,2330,Control,2013-03-06,830,1130,Freezing (30°F-39°F),3912 S Baytree Ln,South,Loop,Lawn,None,46,1.9,48,1.9,0, ,6,6.9,50,Ductile Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Yes,0,Defect in Pipe, ,Repaired, ,No, ,56,1.83,58,1.85,No,Yes,"2, 4",Yes,No,y,{454AE7A2-A3B1-456A-95DE-116E9B3DA6F3}
13,14,wp7437,1954,2013-03-27,930, ,2013-03-27,930,1130,Cold (40°F-55°F),1075 N Jordan,Central,N to S,Lawn,None,69,1.82,68,1.82,3, ,6,0,58,Cast Iron,Mechanical Joint,None,Gravel/Sand,Water Main,Other, , ,No,0, ,Cap old hydrant,Replaced, ,No, ,69,1.8,68,1.79,Yes,Yes,4,Yes,No,n,{DC35110C-4E5C-47AB-BBCE-63D410897F60}
14,15,wp22898,1957,2013-03-28,2200, ,2013-03-29,730,1100,Cold (40°F-55°F),106 N Hillsdale Dr,Central,Loop,Paved,Medium,49,1.54,56,1.85,1,No,6,6.9,45,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,49,0.23,56,0.54,No,Yes,"2, 4",Yes,No,n,{8934D322-343D-49E2-89DA-C939DCCCE75A}
15,16,s40154,1990,2013-04-03,723,James Fagan,2013-04-03,1030,1115,Freezing (30°F-39°F),3161 Coppertree,Central,Loop,Lawn,Light,65,1.94,72,1.1,1,Yes,6,0,54,Ductile Iron,Push-on/Slip,Gas,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0, , ,Repaired, ,No, ,70,1.73,72,1.09,No,Yes,4,No, ,y,{C5205965-2220-4764-9084-9D1EDB4EF2EE}
16,17,wp29498,2013,2013-04-07,645,Home Owner,2013-04-07,830,1130,Mild (55°F-70°F),2601 Rogers St,Central,Loop,Gravel, ,40,1.6,40,1.66,1,No,6,6.9,48,Ductile Iron,Lead,Storm,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,Yes,1,"Improper Bedding, Ground Movement", ,Replaced, ,No, ,90,1.66,90,1.66,Yes,Yes,"2, 4",Yes,Yes,n,{353E2F12-32F2-42E2-A5D7-941E11549031}
17,18,o4770,1959,2013-04-08,730, ,2013-04-08,830,1130,Mild (55°F-70°F),1408 W 12th,Central,Loop,Paved,Medium,66,1.77,66,1.73,2,Yes,6,6.9,50,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Both,Longitudinal Split,Yes,1,Ground Movement, ,Repaired, ,Yes, ,66,1.78,66,1.75,No,No, ,No, ,n,{6838DD29-08C3-4719-A7D4-FD0AE7C00839}
18,19,wp29551,2013,2013-04-12,900, ,2013-04-12,930,1200,Mild (55°F-70°F),2303 S Rogers,Central,Loop,Paved,Medium,92,1.75,92,1.75,2, ,6,6.9,50,Ductile Iron,Not Uncovered, ,Native Soils,Service Lateral,Other: corp, , ,No,0,Contractor,MileStone hit line,Repaired, ,No, ,94,1.72,96,1.69,No,Yes,2,Yes,No,n,{16949C7A-F449-47BB-87DF-E3BBB25F89D5}
19,20,wp8548,1980,2013-04-15,1540, ,2013-04-15,1630,2000,Mild (55°F-70°F),2536 W Industrial Park Drive,West,Loop,Lawn,Medium,66,1.78,0,0,2,No,12,13.2,51,Ductile Iron, , ,Gravel/Sand,Water Main,Pipe Barrel, ,Blow Hole,No,0, ,Hole in bottom of pipe,Repaired, ,No,Reduced to 24 psi during repair,66,0,0,0,No,Yes,"1-2, 1-4",Yes,No,n,{44AB9D55-4FB0-4D34-9636-DFE05548AEEB}
20,21,q468,1910,2013-04-15,1000, ,2013-04-15,1000,1330,Mild (55°F-70°F),601 N Walnut,Central,Loop,Paved,Medium,66,1.75,0,0,2, ,4,4.8,51,CI-lead joint,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel, ,Corporation,Yes,0,Other Department,Rolling out old line corp. broke,Repaired, ,No, ,68,1.75,0,0,No,Yes,4,Yes,No,y,{0C73B2D3-0AD2-41AD-AB81-E14381C43BDB}
21,22,wp29617,2013,2013-04-17,800,Contractor,2013-04-17,830,1030,Mild (55°F-70°F),2108 S Rogers St,Central,Loop,Ditch, ,94,1.67,0,0,1,No,6,6.9,48,Ductile Iron,Not Uncovered,None,Native Soils,Service Lateral,Pipe Barrel,Inside,Corporation,No,0,Contractor,MileStone,Repaired, ,No,Had to shut down,94,1.67,0,0,No,Yes,2,Yes,No,n,{B2FC2C25-4AB4-4D93-ACE9-39BEAC8E7508}
22,23,wp27936,2003,2013-04-26,700, ,2013-04-26,830,1130,Mild (55°F-70°F),4292 Mallard Ct,Central,N to S,Paved,Light,40,1.82,0,0,2, ,4,4.5,50,SDR-21 PR200,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Ground Movement, ,Replaced, ,No, ,106,1.78,0,0,Yes,Yes,2,Yes,No,n,{46B19824-44FE-4643-BD50-8C1304A1A5E8}
23,24,v46139,1964,2013-05-02,620,Resident,2013-05-02,1000,1330,Hot (>70°F),4201 E Cambridge Dr,East,Loop,Lawn,Light,26,1.93,40,1.87,2,Yes,6,6.9,54,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Both,Longitudinal Split,No,0,Ground Movement,"4.5"""" of 6"""" DIP & two 6"""" sleeves",Replaced, ,No,Shut down,75,1.93,78,1.87,Yes,Yes,"2, 4",Yes,No,n,{8183C3C9-0141-4C74-A30A-CD6003CF81F8}
24,25,wp23883,1988,2013-05-06,1130, ,2013-05-06,1300,1430, ,550 S Adams,West,S to N,Paved,Medium,88,1.9,0,0,2, ,6,6.95,39,Ductile Iron,Not Uncovered,None,Native Soils,Service Lateral,Other: corp, ,Corporation,No,0,Corporation Leaking, ,Repaired, ,No, ,88,1.92,0,0,No,Yes,1,Yes,No,n,{6AE4FE6B-26EB-4FC9-B4AD-29F67CA9EF4E}
25,26,r3723,1989,2013-05-09,1030,Resident,2013-05-09,1200,1515,Hot (>70°F),3925 S BayTree Ln,West,Loop,Paved,Light,42,1.83,44,2.01,1,Yes,6,0,54,Ductile Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Yes,2, ,Corrosion; replaced about 8' of pipe,Replaced, ,No,30 psi,42,2.2,44,2.2,Yes,Yes,2,Yes,No,y,{1695642F-6026-4782-9F05-4735379C2156}
26,27,wp29537,2013,2013-05-23,900, ,2013-05-23,930,1200,Hot (>70°F),S Rogers - Coolidge,Central,Loop,Paved,Medium,3,1.85,20,1.8,2, ,6,6.9,51,Ductile Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel, ,Longitudinal Split, ,0,Contractor,Hit by milestone,Repaired, ,No, ,92,1.75,90,1.8,No,Yes,"2, 4",Yes,No,n,{DEF6BAC4-65B9-44AD-8CD6-0C7780E93240}
27,28,v47109,1976,2013-05-26,730, ,2013-05-26,830,1530,Hot (>70°F),4153 Hector,East,Loop,Paved,Light,62,1.63,65,1.6,2, ,6,6.9,57,CI or DI,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,Yes,0,Ground Movement,Replaced a 45 and 12 ft of pipe,Replaced, ,No,Split,79,1.65,80,1.62,Yes,Yes,4,Yes,No,y,{5E0C641B-FF58-4DCA-9F7D-A7BC4CB48EE0}
28,29,wp29632,2013,2013-05-31,800, ,2013-05-31,1030,1230, ,2020 S Rogers,Central,Loop,Paved,Medium,89,1.82,0,2,2, ,6,6.9,50,Ductile Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,92,1.92,0,0,No,Yes,4,Yes,No,n,{E7D006B0-D7AD-4E34-941E-78247C6705A6}
29,30,wp4918,1996,2013-06-21,800, ,2013-06-21,1000,1300,Hot (>70°F),3111 Venture Blvd,West,W to E,Paved,Light,82,1.5,0,0,2, ,8,9.1,57,Ductile Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Defect in Pipe, ,Repaired, ,No, ,85,1.75,0,0,No,Yes,"2, 4",Yes,No,n,{92C5DBC1-C796-417E-A499-3034D7FFE3F7}
30,31,wp22747,2008,2013-06-25,1230,Crew working on site,2013-06-25,1300,1330,Hot (>70°F),318 S Washington,Central,S to N,Vacant Lot,None,0,0,0,0,2,Yes,6,6.9,44,Ductile Iron, , ,Native Soils,Water Main,Valve, , ,No,0, ,Valve came of main,Repaired, ,No,Main shut down,0,0,0,0,No,Yes,2,Yes,No,n,{1617D552-2798-423E-9DDC-378E376276AE}
31,32,wp30918,1983,2013-07-05,1130,Control,2013-07-05,0,1530,Hot (>70°F),2700 McCartney Ln,Central,Loop,Lawn,None,88,1.78,88,1.82,2, ,6,6.9,56,Ductile Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Yes,0,Defect in Pipe, ,Repaired, ,No, ,89,1.8,90,1.8,No,Yes,2,Yes,No,n,{C5737FE4-7A1C-4C77-B13D-6528E8ECE86A}
32,33,v46127,1964,2013-07-09,1540, ,2013-07-09,1630,2200,Hot (>70°F),401 N Sheffield Dr,East,Loop,Lawn,Medium,56,0,58,1.7,2,No,6,6.9,56,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Longitudinal Split,No,0,Ground Movement,Replaced an 8' section of main,Replaced, ,No, ,78,1.74,80,1.73, ,Yes,"1-2, 1-4",Yes,Yes,n,{31133D9A-E7D5-4191-8979-86D0598CA54E}
33,34,t4063,1971,2013-07-11,1000,Home Owner,2013-07-11,1100,1430,Hot (>70°F),2516 E Roundhill Lane,Central,E to W,Paved,Light,0,0,0,0,2,No,6,6.9,24,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Longitudinal Split,Yes,2, ,Replaced a 35' section of main,Replaced, ,No, ,68,1.7,68,1.68,Yes,Yes,"1, 2",Yes,No,n,{59775E3E-AA79-458C-8291-15CD642F120F}
34,35,v46124,1964,2013-07-25,900,Citizen,2013-08-31,930,1300,Hot (>70°F),520 Cabot Ct,East,S to N,Lawn,Light,0,0,69,1.02,2,No,0,0,51,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Longitudinal Split,No,0,Ground Movement, ,Replaced, ,No,"Small leak believed to be on hydrant valve; went in to replace valve and hydrant because of age; scheduled shut down after digging area discovered 6"""" [?] on 4"""" pipe barrel; replaced hydrant and valve; installed full seal on pipe barrel",0,0,69,1.04,Yes,Yes,2,Yes,No,n,{B68FD612-8B12-4B83-9BFD-7C6C69E87A9E}
35,36,wp1376,1988,2013-07-26,1300,Citizen,2013-08-02,800,1230,Hot (>70°F),3807 S Bainbridge Dr,Central,W to E,Paved,Light,89,1.73,83,0.99,2,No,6,6.9,49,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Improper Bedding, ,Repaired, ,No,Turned down to around 30 psi to put clamp on,89,1.27,91,1.22,No,Yes,"2, 4",Yes,No,n,{569F4946-7C74-40FB-A92E-6AD1E38FA353}
36,37,wp31748,1951,2013-09-07,1255,Bruce Anderson,2013-09-08,800,1330,Hot (>70°F),N Dunn & Old 37 - B+B Water Corp/ Meter Vault, ,W to E,Lawn, ,0,0,0,0,0, ,4,0,0,Cast Iron, , , , , , , , ,0, ,The top bolts for Valve #95320 rusted away. We replaced the bolts. We also replaced the bolts for 2 other valves at the meter vault. We don't know how long the valve has been leaking. It may have been months., , , , ,0,0,0,0, , , , , ,n,{95179CFF-1EEE-4188-BDCF-F8D97294E952}
37,38,wp29515,2013,2013-09-09,1630,Milestone,2013-09-09,1630,1930,Hot (>70°F),2508 S Rogers St, , ,Gravel,Medium,0,0,0,0,1,No,1,0,60,Ductile Iron, , ,Gravel/Sand,Service Lateral,Pipe Barrel, ,Corporation,No,0,Contractor,Milestone (Tim Dixon supt),Replaced, ,Yes, ,0,0,0,0, , , ,Yes, ,n,{313019C9-17C2-448E-8EC1-C57C6B2F9329}
38,39,wp1545,1983,2013-09-19,0, ,2013-09-19,1000,1400,Mild (55°F-70°F),904 Larkspur,Central,S to N,Paved,Medium,79,2.1,0,0,2, ,8,9.05,74,Ductile Iron,Not Uncovered,None,Gravel/Sand,Water Main, ,Outside, ,No,0,Defect in Pipe, ,Repaired, ,No, ,85,2.15,0,0,No,Yes,2,Yes,No,n,{EC16E67F-6050-4810-8EF3-73F3094D6CB3}
39,40,s4454,1966,2013-10-28,1800,Citizen,2013-10-29,800,1000,Cold (40°F-55°F),2122 E Woodstock Pl,Central,W to E,Paved,Light,0,0,50,1.98,2,No,6,6.9,51,Cast Iron,Push-on/Slip,Gas,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,0,0,50,1.62,No,Yes,2,No, ,n,{7DB73F98-0D72-44D6-89EC-054C992C0EE6}
40,41,v47109,1976,2013-11-01,1130,Home Owner,2013-11-01,1300,1350,Mild (55°F-70°F),4153 E Hector Dr,East,Loop,Paved,Light,84,1.84,84,0.43,1,Yes,6,0,51,CI or DI,Not Uncovered,Storm,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,84,1.76,84,0.55,No,Yes, ,No, ,y,{31B1046B-BBF3-48FE-972E-E7E1DB29C211}
41,42,wp28981,1976,2013-11-22,900, ,2013-11-22,1000,1130,Cold (40°F-55°F),4427 E Kinser,East,Loop,Ditch, ,80,1.85,80,1.87,2, ,6,6.92,50,CI or DI,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,Yes,0,Ground Movement, ,Repaired, ,Yes, ,81,1.8,82,1.82,No,Yes,2,No, ,y,{B35D0823-767C-4BE3-9220-0C2BA15A0DFA}
42,43,t4437,1960,2013-11-24,1330,Neighbor,2013-11-24,1500,1900,Below Freezing (<30°F),628 Woodscrest,Central,N to S,Paved, ,58,1.35,60,1.35,2,No,6,0,58,Cast Iron,Not Uncovered, ,Native Soils,Water Main,Pipe Barrel, ,Circumferential,Yes,0,Ground Movement, ,Repaired, ,No,Turned 2 valves,30,1.35,30,1.35,No,Yes,4,Yes,No,n,{E4DD6C92-3A67-4D2C-A98A-2DD3BA247AA2}
43,44,u4143,1988,2013-11-30,700,BPD,2013-11-30,700,1600,Cold (40°F-55°F),3208 Kristen & Forrester,Central,N to S,Lawn, ,55,2.04,0,0,2,No,12,0,48,Ductile Iron,Push-on/Slip, ,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0, ,Outside pipe deterioration; replaced sleeve,Replaced, ,No,Had to shut down,60,1.9,0,0,No,Yes,2x2,Yes,No,n,{57CCE17E-F509-432E-8C39-AC7077F70E32}
44,45,wp3019,1982,2013-12-02,1330,Customer,2013-12-03,830,1058,Cold (40°F-55°F),603 Coolidge,Central,E to W,Paved,Light,70,1.68,70,1.67,1,Yes,6,6.91,42,Ductile Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,71,1.67,70,1.66,No,Yes,"2, 4",No, ,n,{3F8B28F8-4086-4603-947D-AE7EC7541F85}
45,46,t45112,1953,2013-12-10,2130,Police,2013-12-11,1200,100,Below Freezing (<30°F),South of 212 S Overhill Dr, ,Loop,Lawn,None,56,2.1,56,2.09,1,Yes,6,6.91,42,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,No,Reduced to 30 psi,56,2.08,56,2.09,No,Yes,2,No, ,n,{AA2ABB65-1E54-44B5-824C-975E74596E62}
46,47,t44102,1970,2013-12-15,50,Police,2013-12-15,130,530,Freezing (30°F-39°F),Buick Cadellac & AutoMall Rd,Central,Loop,Paved,Medium,74,2.15,0,0,2,Yes,6,6.91,48,Cast Iron,Not Uncovered,"Gas, Cable",Native Soils,Water Main,Pipe Barrel,Both,Circumferential, ,0,Ground Movement, ,Repaired, ,Yes, ,74,2.2,0,0, ,No, , , ,n,{F411D83C-12A3-4488-A5E6-58AC4A2068CD}
47,48,wp28981,1976,2013-12-17,715, ,2013-12-17,900,1145,Freezing (30°F-39°F),4417 E Kinser Dr,East,Loop,Ditch,None,20,1.22,20,1.21,2, ,6,6.9,46,CI or DI,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Outside,Longitudinal Split,Yes,0,"Improper Bedding, Ground Movement", ,Replaced, ,No,Split pipe about 4' per d.p.,80,1.2,80,1.19,Yes,Yes,"2, 4",Yes,No,y,{CDF7BB2A-9C55-468A-9EB7-9B382D605CD6}
48,49,q47124,1983,2013-12-27,945,Home Owner,2013-12-27,1045,1300,Freezing (30°F-39°F),110 E 12th St,Central,Loop,Paved,Light,58,0.15,62,1.77,1,Yes,6,6.9,48,Ductile Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Defect in Pipe, ,Repaired, ,No, ,59,1.55,60,1.55,No,Yes,"2, 4", , ,n,{C8B84EEF-527D-4C3D-BCA9-50FA7A49271E}
49,50,r473,1954,2014-01-07,0, ,2014-01-08,1030,1300,Below Freezing (<30°F),815 N Jordan,IU,N to S,Paved,Light,72,1.15,72,1.18,3,No,12,13.2,69,Cast Iron,Not Uncovered,"Gas, Electric",Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0,"Ground Movement, Beam Break", ,Repaired, ,No, ,78,1.14,78,1.19,No,Yes,2,Yes,No,n,{DC7C0D63-2F19-4CBC-9E20-08B75A4126AA}
50,51,q341,1991,2014-01-10,1315,Home Owner,2014-01-10,1400,1630,Cold (40°F-55°F),5930 S Phyllis,Central,W to E,Paved,Light,99,1.54,36,1.55,1,Yes,4,0,40,Ductile Iron,Not Uncovered,"Live Water, Gas",Native Soils,Water Main,Pipe Barrel,Both,Blow Hole,No,0,"Ground Movement, Temperature Changes", ,Repaired, ,No, ,120,1.55,100,1.55,No,Yes,2 and 4,No, ,n,{F62827DB-3BC5-41D6-BD79-0EE90734E02E}
51,52,wp18401,195,2014-01-14,800, ,2014-01-14,930,1400,Below Freezing (<30°F),517 S Arbutus,Central,S to N,Paved,Light,72,1.25,0,0,2,No,4,4.85,38,Cast Iron,Not Uncovered,Live Water,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,"Improper Bedding, Ground Movement", ,Repaired, ,Yes, ,72,1.4,0,0,No,Yes,2,No, ,n,{3F8D40D1-7150-49D5-AED0-73E5115A76B1}
52,53,wp31149,1970,2014-01-14,830,Home Owner,2014-01-14,930,1330,Cold (40°F-55°F),204 N Kible Dr,West,Loop,Paved,Light,46,0.31,44,1.17,1,Yes,6,0,48,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Both, ,No,0,Ground Movement, ,Replaced, ,No, ,54,1.82,54,1.71,Yes,Yes,4,Yes,No,n,{818768AB-E9C5-4798-B85F-BA05D53FA34C}
53,54,m401,1957,2014-01-14,900,Citizen,2014-01-14,1030,1500,Freezing (30°F-39°F),S Elm Leaf Dr & W Walnut Leaf Dr,West,Loop,Paved,Medium,58,0.08,75,0.05,1,No,6,6.9,90,Cast Iron,Mechanical Joint,None,Native Soils,Water Main,Pipe Barrel,Inside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,62,0.02,75,0.04,No,No, ,No, ,n,{2B3E7528-AF09-4304-9D26-EFBD171F57AD}
54,55,m401,1957,2014-01-14,1600,CBU,2014-01-15,900,1300,Below Freezing (<30°F),S Elm Leaf Dr & W Walnut Leaf Dr,West,Loop,Paved,Medium,62,0.02,75,0.84,1,No,6,6.9,90,Cast Iron,Mechanical Joint,None,Native Soils,Water Main,Joint,Both,Longitudinal Split,Yes,1,Contractor, ,Replaced, ,No,Had to replace 101 ft of pipe,60,1.78,75,1.78,Yes,Yes,2 and 4,Yes,Yes,n,{6CF45CD1-18ED-4FF4-A56D-19274A180BCB}
55,56,wp21774,0,2014-01-16,945,Contractor,2014-01-16,1015,1145,Freezing (30°F-39°F),100 W Club House Dr,Central,N to S,Ditch,Light,0,0,0,0,2,No,4,4.84,30,Ductile Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both, ,No,0,Contractor,Kevin Huntley,Replaced, ,Yes, ,102,0.92,145,1.12,Yes,Yes,2,Yes,No,n,{9FF66512-D8C8-4ABC-BAB6-7B8B41F9F430}
56,57,u4621,1957,2014-01-17,1045,Citizen,2014-01-17,2130,30,Below Freezing (<30°F),608 N Kerry Dr,Central,Loop,Paved,Medium,54,1.2,0,0,1,No,6,6.9,45,Cast Iron,Mechanical Joint,Live Water,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,Yes,0,Ground Movement, ,Repaired, ,No,Closed to valves droped pressure from 54 to 42,54,1.02,0,0,No,Yes,2,No, ,n,{5952DF8E-70F6-4345-A86F-48BAD621C4DE}
57,58,r4390,1957,2014-01-20,1145,Customer,2014-01-20,1145,1215,Cold (40°F-55°F),932 S Ballantine Rd,Central, ,Paved,Light,64,1.67,66,1.45,1,Yes,4,0,48,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,64,1.65,66,1.45,No,Yes,2,No, ,n,{87A2474C-8E1A-411A-8AD2-D4B990F0C844}
